S2085 Outline	S2085 Text	Common	S685 Outline	S685 Text
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(6)	ROUNDING.—The applicable amount under this subsection shall be rounded up to the next whole dollar amount.			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)	REFUNDS FOR CAPTURING CARBON DIOXIDE AND PRODUCTION OF CERTAIN GOODS.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)	CARBON DIOXIDE CAPTURE, UTILIZATION, AND STORAGE.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)	IN GENERAL.—In the case of a person who—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(i)	uses any coal, petroleum product, or natural gas for which a fee has been imposed under subsection (a)(1) in a manner which results in the emission of qualified carbon dioxide,			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(ii)	captures the resulting emitted qualified carbon dioxide at a qualified facility which is owned by such person, and			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(iii)(I)	disposes of such qualified carbon dioxide in secure storage in compliance with Treasury Decision 9944 (86 Fed. Reg. 4728), or			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(iii)(II)	utilizes such qualified carbon dioxide in a manner provided in subparagraph (D), there shall be allowed a refund, in the same manner as if it were an overpayment of the fee imposed by such subsection, to such person in the amount determined under subparagraph (B).	carbon, manner, refund, overpayment, fee, imposed	[SEC. 3.(a)(1)] SEC. 4694.(b)(1)	IN GENERAL.—In the case of any facility for which carbon capture equipment has been placed in service, the Secretary shall make payments in the same manner as if such payment was a refund of an overpayment of the fee imposed by section 4692 or 4693.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(iii)(II)		carbon, refund, imposed, amount, determined	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(iii)(II)		carbon, fee, imposed, amount, determined	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(iii)(II)		carbon, subparagraph, fee, imposed, amount	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(B)	REDUCTION IN FEE.—The amount of the equivalency fee under subparagraph (A) shall be reduced by the amount, if any, of any fees imposed on the carbon-intensive product by the foreign nation or governmental units from which such product was imported.
	.			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(B)	AMOUNT OF REFUND.—The amount of the refund under this subparagraph is an amount equal to the product of—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(B)(i)	the applicable amount under subsection (b) for the calendar year in which such qualified carbon dioxide was captured and disposed or utilized, and	subsection, qualified, carbon, captured, disposed, utilized	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(A)	the metric tons of qualified carbon oxide captured and disposed of, used, or utilized in a manner consistent with subsection (a), multiplied by
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(B)(i)		qualified, carbon, captured, disposed, utilized	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(B)(ii)	in the case of a direct air capture facility (as defined in section 45Q(e)(1)), the carbon fee rate during the year in which the qualified carbon oxide was captured and disposed of, used, or utilized.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(B)(ii)	the adjusted tons of qualified carbon dioxide captured and disposed or utilized.	tons, qualified, carbon, captured, disposed, utilized	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(A)	the metric tons of qualified carbon oxide captured and disposed of, used, or utilized in a manner consistent with subsection (a), multiplied by
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(B)(ii)		qualified, carbon, captured, disposed, utilized	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(B)(ii)	in the case of a direct air capture facility (as defined in section 45Q(e)(1)), the carbon fee rate during the year in which the qualified carbon oxide was captured and disposed of, used, or utilized.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)	ADJUSTED TOTAL TONS.—For purposes of subparagraph (B), the adjusted tons of qualified carbon dioxide captured and disposed or utilized shall be the total tons of qualified carbon dioxide captured and disposed or utilized reduced by the amount of any anticipated leakage of carbon dioxide into the atmosphere due to imperfect storage technology or otherwise, as determined by the Secretary in consultation with the Administrator of the Environmental Protection Agency.	total, tons, carbon, dioxide, amount, determined		in the case of any noncovered fuel emissions, the entity which is the source of such emissions, provided that the total amount of carbon dioxide or methane emitted by such entity for the preceding year (as determined using the methodology required under section 4692(e)(4)) was not less than 25,000 metric tons, and (E) any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		carbon, atmosphere, otherwise, determined, secretary		any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment. (5) COVERED FUEL.—The term ‘covered fuel’ means crude oil, natural gas, coal, or any other product derived from crude oil, natural gas, or coal which shall be used so as to emit greenhouse gases to the atmosphere.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		total, purposes, subparagraph, amount, determined, administrator	[SEC. 3.(a)(1)] (i)(1)(B)	METHODOLOGY.—For purposes of subparagraph (A), with respect to determining the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018, the Administrator shall use such methods as are determined appropriate, provided that such methods are, to the greatest extent practicable, comparable to the methods established under paragraph (4).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		qualified, carbon, secretary, consultation, administrator	[SEC. 3.(a)(1)] SEC. 4694.(a)(1)	CAPTURE, SEQUESTRATION, AND USE.— The Secretary, in consultation with the Administrator and the Secretary of Energy, shall prescribe regulations for providing payments to any person which captures qualified carbon oxide which is—
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		tons, qualified, carbon, captured, disposed, utilized	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(A)	the metric tons of qualified carbon oxide captured and disposed of, used, or utilized in a manner consistent with subsection (a), multiplied by
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		qualified, carbon, captured, disposed, utilized	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(B)(ii)	in the case of a direct air capture facility (as defined in section 45Q(e)(1)), the carbon fee rate during the year in which the qualified carbon oxide was captured and disposed of, used, or utilized.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		qualified, carbon, secretary, consultation, administrator	[SEC. 3.(a)(1)] SEC. 4694.(c)	APPROVED USES OF QUALIFIED CARBON OXIDE.—The Secretary, in consultation with Administrator and the Secretary of Energy, shall, through regulation or other public guidance, determine which uses of qualified carbon oxide are eligible for payments under this section, which may include—
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		adjusted, carbon, reduced, amount, otherwise, determined	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		secretary, consultation, administrator, environmental, protection, agency	SEC. 6.(c)(1)	IN GENERAL.—The Secretary, in consultation with the Administrator of the Environmental Protection Agency, shall establish a program to provide payments to eligible producers that will assist with the transition to reducing greenhouse gas emissions through the adoption of qualifying practices described in paragraph (2).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		determined, secretary, consultation, administrator, agency	SEC. 7.(c)(2)	as determined by the Secretary, in consultation with the Administrator of the Federal Emergency Management Agency, has been or is at risk of being impacted by extreme weather events, sea level rise, and natural disasters related to climate change; or
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		carbon, determined, secretary, consultation, administrator, environmental, protection, agency	SEC. 7.(c)(3)	as determined by the Secretary, in consultation with the Administrator of the Environmental Protection Agency, has been impacted by harmful residuals from a fossil fuel or carbon-intensive industry.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		secretary, administrator, environmental, protection, agency	SEC. 7.(d)(4)	other activities as the Secretary, in coordination with the Secretary of Labor, the Administrator of the Federal Emergency Management Agency, and the Administrator of the Environmental Protection Agency, determines to be appropriate.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)		consultation, administrator, environmental, protection, agency	SEC. 9.(a)	IN GENERAL.—The Chair of the Council on Environmental Quality, in consultation with the Secretaries of Agriculture, Commerce, and the Interior, the Chief of Engineers, and the Administrator of the Environmental Protection Agency, shall—
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)	REQUIREMENTS.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(i)	IN GENERAL.—Any refund under subparagraph (A) shall apply only with respect to qualified carbon dioxide that has been captured and disposed or utilized within the United States.	qualified, carbon, captured, disposed, utilized	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(A)	the metric tons of qualified carbon oxide captured and disposed of, used, or utilized in a manner consistent with subsection (a), multiplied by
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(i)		qualified, carbon, captured, disposed, utilized	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(B)(ii)	in the case of a direct air capture facility (as defined in section 45Q(e)(1)), the carbon fee rate during the year in which the qualified carbon oxide was captured and disposed of, used, or utilized.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(ii)	RECAPTURE.—The Secretary shall, by regulations, provide for recapturing the benefit of any refund made under subparagraph (A) with respect to any qualified carbon dioxide which is disposed in secure storage and ceases to be stored in a manner consistent with the requirements of this section.	qualified, carbon, disposed, manner, consistent	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(A)	the metric tons of qualified carbon oxide captured and disposed of, used, or utilized in a manner consistent with subsection (a), multiplied by
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)	UTILIZATION.—The Secretary, in consultation with the Secretary of Energy and the Administrator of the Environmental Protection Agency, shall establish regulations providing for the appropriate methods and manners for the utilization of qualified carbon dioxide under subparagraph (A)(iii)(II), including the utilization of captured carbon dioxide for the production of substances such as plastics and chemicals. Such regulations shall provide for the minimization of the escape or further emission of the qualified carbon dioxide into the atmosphere.	energy, carbon, dioxide, production, emission		NONCOVERED FUEL EMISSION.—The term ‘noncovered fuel emission’ means any carbon dioxide or methane emitted as a result of the production, processing, transport, or use of any product or material within the energy or industrial sectors— (A) including any fugitive or process emissions associated with the production, processing, or transport of a covered fuel, and
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		secretary, consultation, administrator, regulations, carbon		ADMINISTRATIVE AUTHORITY.—The Secretary, in consultation with the Administrator, shall prescribe such regulations, and other guidance, to assess and collect the carbon fee imposed by this section, including— (1) the identification of covered entities that are liable for payment of a fee under this section or section 4693,
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		secretary, consultation, administrator, regulations, carbon	[SEC. 3.(a)(1)] SEC. 4693.(c)	ADMINISTRATIVE AUTHORITY.—The Secretary, in consultation with the Administrator, shall prescribe such regulations, and other guidance, to assess and collect the carbon fee imposed by this section, including regulations describing the requirements for the quarterly payment of such fees.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		secretary, consultation, energy, administrator, regulations, providing, qualified, carbon	[SEC. 3.(a)(1)] SEC. 4694.(a)(1)	CAPTURE, SEQUESTRATION, AND USE.— The Secretary, in consultation with the Administrator and the Secretary of Energy, shall prescribe regulations for providing payments to any person which captures qualified carbon oxide which is—
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		secretary, consultation, energy, administrator, qualified, carbon	[SEC. 3.(a)(1)] SEC. 4694.(c)	APPROVED USES OF QUALIFIED CARBON OXIDE.—The Secretary, in consultation with Administrator and the Secretary of Energy, shall, through regulation or other public guidance, determine which uses of qualified carbon oxide are eligible for payments under this section, which may include—
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		secretary, establish, appropriate, methods, carbon	SEC. 5.(h)(2)	in coordination with the Commissioner of Social Security, the Secretary of Veterans Affairs, and any relevant State agencies, establish methods to identify eligible individuals and provide carbon fee rebate payments to such individuals through appropriate means of distribution, including through the use of electronic benefit transfer cards.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		secretary, consultation, administrator, environmental, protection, agency, establish	SEC. 6.(c)(1)	IN GENERAL.—The Secretary, in consultation with the Administrator of the Environmental Protection Agency, shall establish a program to provide payments to eligible producers that will assist with the transition to reducing greenhouse gas emissions through the adoption of qualifying practices described in paragraph (2).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		secretary, establish, providing, carbon, production	SEC. 6.(d)(2)(A)	IN GENERAL.—For the purposes of providing payments under the program, the Secretary shall conduct a nationwide soil health and agricultural greenhouse gas emissions inventory that uses the best available science and data to establish baselines and expected average performance for soil carbon drawdown and storage and greenhouse gas emissions reduction by primary production type and production region.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		secretary, consultation, administrator, environmental, protection, agency, carbon	SEC. 7.(c)(3)	as determined by the Secretary, in consultation with the Administrator of the Environmental Protection Agency, has been impacted by harmful residuals from a fossil fuel or carbon-intensive industry.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		secretary, administrator, environmental, protection, agency, appropriate	SEC. 7.(d)(4)	other activities as the Secretary, in coordination with the Secretary of Labor, the Administrator of the Federal Emergency Management Agency, and the Administrator of the Environmental Protection Agency, determines to be appropriate.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)		consultation, administrator, environmental, protection, agency	SEC. 9.(a)	IN GENERAL.—The Chair of the Council on Environmental Quality, in consultation with the Secretaries of Agriculture, Commerce, and the Interior, the Chief of Engineers, and the Administrator of the Environmental Protection Agency, shall—
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iv)	EXCEPTION.—No refund shall be allowed under this paragraph with respect to any carbon dioxide which is utilized in—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iv)(I)	enhanced oil or gas recovery, or			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iv)(II)	the production of fuels or any other substance which will be combusted or otherwise release greenhouse gases into the atmosphere.			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)	QUALIFIED CARBON DIOXIDE; QUALIFIED FACILITY.—For purposes of this paragraph—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)	QUALIFIED CARBON DIOXIDE.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)(I)	IN GENERAL.—The term ‘qualified carbon dioxide’ means carbon dioxide captured from an industrial source which—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)(I)(aa)	would otherwise be released into the atmosphere as industrial emission of greenhouse gas, and			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)(I)(bb)	is measured at the source of capture and verified at the point of disposal, injection, or utilization.			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)(II)	RECYCLED CARBON DIOXIDE.—The term ‘qualified carbon dioxide’ includes the initial deposit of captured carbon dioxide used as a tertiary injectant. Such term does not include carbon dioxide that is recaptured, recycled, and re-injected as part of the enhanced oil and natural gas recovery process.			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(ii)	QUALIFIED FACILITY.—The term ‘qualified facility’ means any industrial facility at which carbon capture equipment is placed in service.	facility, carbon, capture, equipment, placed, service	[SEC. 3.(a)(1)] SEC. 4694.(b)(1)	IN GENERAL.—In the case of any facility for which carbon capture equipment has been placed in service, the Secretary shall make payments in the same manner as if such payment was a refund of an overpayment of the fee imposed by section 4692 or 4693.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)	MANUFACTURE OF CERTAIN GOODS.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)	IN GENERAL.—In the case of a person who uses any coal, petroleum product, or natural gas for which a fee has been imposed under subsection (a)(1) as an input for a manufactured good (other than a product described in subparagraph (B)) that encapsulates any of the carbon dioxide that would have otherwise been emitted through combustion of such coal, petroleum product, or gas in a manner such that it does not result in the direct emission of carbon dioxide in the manufacturing or subsequent use of such good, a refund shall be allowed to such person in the same manner as if it were an overpayment of the fee imposed by such section in an amount that is equal to the product of—	case, carbon, dioxide, emitted, amount		in the case of any noncovered fuel emissions, the entity which is the source of such emissions, provided that the total amount of carbon dioxide or methane emitted by such entity for the preceding year (as determined using the methodology required under section 4692(e)(4)) was not less than 25,000 metric tons, and (E) any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		gas, fee, carbon, otherwise, manner		any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment. (5) COVERED FUEL.—The term ‘covered fuel’ means crude oil, natural gas, coal, or any other product derived from crude oil, natural gas, or coal which shall be used so as to emit greenhouse gases to the atmosphere.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		product, carbon, dioxide, emitted, emission		NONCOVERED FUEL EMISSION.—The term ‘noncovered fuel emission’ means any carbon dioxide or methane emitted as a result of the production, processing, transport, or use of any product or material within the energy or industrial sectors— (A) including any fugitive or process emissions associated with the production, processing, or transport of a covered fuel, and
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		fee, imposed, carbon, amount, equal	[SEC. 3.(a)] SEC. 4692.(c)	AMOUNT OF THE CARBON FEE.—The carbon fee imposed by this section is an amount equal to—
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		gas, fee, imposed, subsection, subsequent, amount	[SEC. 3.(a)(1)] (i)(5)	REVISIONS.—With respect to any determination made by the Administrator as to the amount of greenhouse gas emissions for any calendar year (including calendar year 2018), any subsequent revision by the Administrator with respect to such amount shall apply for purposes of the fee imposed under subsection (b) for any calendar years beginning after such revision. (f) EXEMPTION AND REFUND.—The Secretary shall prescribe such rules as are necessary to ensure the carbon fee imposed by this section is not imposed with respect to any nonemitting use, or any sale or transfer for a nonemitting use, including rules providing for the refund of any carbon fee paid under this section with respect to any such use, sale, or transfer.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		fee, carbon, emission, amount, equal	[SEC. 3.(a)(1)] SEC. 4693.(b)(2)	an amount equal to the carbon fee rate in effect under section 4692(d) for the calendar year of such emission.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		case, fee, imposed, carbon, manner, refund, overpayment	[SEC. 3.(a)(1)] SEC. 4694.(b)(1)	IN GENERAL.—In the case of any facility for which carbon capture equipment has been placed in service, the Secretary shall make payments in the same manner as if such payment was a refund of an overpayment of the fee imposed by section 4692 or 4693.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		case, product, imposed, carbon, manufacturing, refund, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		case, imposed, refund, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(b)(2)	COVERED FUELS.—In the case of any covered fuel which is exported from the United States, the Secretary shall pay to the person exporting such fuel a refund equal to the amount of the cost of such fuel attributable to any fees imposed under this subchapter related to the use, sale, or transfer of such fuel.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		case, product, fee, imposed, carbon, manufacturing, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		product, fee, imposed, subparagraph, carbon, amount	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(B)	REDUCTION IN FEE.—The amount of the equivalency fee under subparagraph (A) shall be reduced by the amount, if any, of any fees imposed on the carbon-intensive product by the foreign nation or governmental units from which such product was imported.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		case, fee, imposed, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(c)(2)(A)	IN GENERAL.—In the case of any covered fuel imported into the United States, there is imposed a fee on the person importing such fuel in an amount equal to the amount of any fees that would be imposed under this subchapter related to the use, sale, or transfer of such fuel.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)		case, fee, carbon, otherwise, amount, equal	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)(i)	an amount equal to the applicable amount under subsection (b) for the calendar year in which such good was produced, and			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)(ii)	the total tons of carbon dioxide that would have otherwise been emitted through the combustion of such coal, petroleum product, or gas.	total, tons, carbon, dioxide, emitted		in the case of any noncovered fuel emissions, the entity which is the source of such emissions, provided that the total amount of carbon dioxide or methane emitted by such entity for the preceding year (as determined using the methodology required under section 4692(e)(4)) was not less than 25,000 metric tons, and (E) any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(B)	EXCLUSION.—The products described in this subparagraph are—			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(B)(i)	single-use plastic products (as defined in section 4696(a)(8)), and			
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(B)(ii)	products which are commonly disposed of through incineration with a resulting release of carbon dioxide (as identified by the Secretary, in consultation with the Administrator of the Environmental Protection Agency).	secretary, consultation, administrator, environmental, protection, agency	SEC. 6.(c)(1)	IN GENERAL.—The Secretary, in consultation with the Administrator of the Environmental Protection Agency, shall establish a program to provide payments to eligible producers that will assist with the transition to reducing greenhouse gas emissions through the adoption of qualifying practices described in paragraph (2).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(B)(ii)		carbon, secretary, consultation, administrator, environmental, protection, agency	SEC. 7.(c)(3)	as determined by the Secretary, in consultation with the Administrator of the Environmental Protection Agency, has been impacted by harmful residuals from a fossil fuel or carbon-intensive industry.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(B)(ii)		secretary, administrator, environmental, protection, agency	SEC. 7.(d)(4)	other activities as the Secretary, in coordination with the Secretary of Labor, the Administrator of the Federal Emergency Management Agency, and the Administrator of the Environmental Protection Agency, determines to be appropriate.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(B)(ii)		consultation, administrator, environmental, protection, agency	SEC. 9.(a)	IN GENERAL.—The Chair of the Council on Environmental Quality, in consultation with the Secretaries of Agriculture, Commerce, and the Interior, the Chief of Engineers, and the Administrator of the Environmental Protection Agency, shall—
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(3)	EXPORTS.—In the case of a person who exports any coal, petroleum product, or natural gas from the United States for which a fee has been imposed under subsection (a)(1), a refund shall be allowed to such person in the same manner as if it were an overpayment of the fee imposed by such section in an amount that is equal to the fee previously imposed under such subsection with respect to such product (determined without regard to any increase under section 4694).	gas, fee, imposed, subsection, amount, respect	[SEC. 3.(a)(1)] (i)(5)	REVISIONS.—With respect to any determination made by the Administrator as to the amount of greenhouse gas emissions for any calendar year (including calendar year 2018), any subsequent revision by the Administrator with respect to such amount shall apply for purposes of the fee imposed under subsection (b) for any calendar years beginning after such revision. (f) EXEMPTION AND REFUND.—The Secretary shall prescribe such rules as are necessary to ensure the carbon fee imposed by this section is not imposed with respect to any nonemitting use, or any sale or transfer for a nonemitting use, including rules providing for the refund of any carbon fee paid under this section with respect to any such use, sale, or transfer.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(3)		case, fee, imposed, refund, manner, overpayment	[SEC. 3.(a)(1)] SEC. 4694.(b)(1)	IN GENERAL.—In the case of any facility for which carbon capture equipment has been placed in service, the Secretary shall make payments in the same manner as if such payment was a refund of an overpayment of the fee imposed by section 4692 or 4693.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(3)		case, product, united, states, imposed, refund, amount, equal, determined	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(3)		case, united, states, imposed, refund, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(b)(2)	COVERED FUELS.—In the case of any covered fuel which is exported from the United States, the Secretary shall pay to the person exporting such fuel a refund equal to the amount of the cost of such fuel attributable to any fees imposed under this subchapter related to the use, sale, or transfer of such fuel.
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(3)		case, product, united, states, fee, imposed, amount, equal, determined	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(3)		case, united, states, fee, imposed, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(c)(2)(A)	IN GENERAL.—In the case of any covered fuel imported into the United States, there is imposed a fee on the person importing such fuel in an amount equal to the amount of any fees that would be imposed under this subchapter related to the use, sale, or transfer of such fuel.
