Item	Page_Lines	Para	Text	Keywords
421	78.1 - 78.6	[SEC. 11001.(a)] SEC. 1194.(e)	FACTORS. For purposes of negotiating the maximum fair price of a selected drug under this part with the manufacturer of the drug, the Secretary shall consider the following factors, as applicable to the drug, as the basis for determining the offers and counteroffers under subsection (b) for the drug:	factors, purposes, negotiating, maximum, fair, price, selected, drug, manufacturer, secretary, consider, applicable, basis, determining, counteroffers, subsection
422	78.7 - 78.9	[SEC. 11001.(a)] SEC. 1194.(e)(1)	MANUFACTURER-SPECIFIC DATA. The following data, with respect to such selected drug, as submitted by the manufacturer:	manufacturer, data, respect, selected, drug, submitted
423	78.10 - 78.13	[SEC. 11001.(a)] SEC. 1194.(e)(1)(A)	Research and development costs of the manufacturer for the drug and the extent to which the manufacturer has recouped research and development costs.	research, development, costs, manufacturer, drug, extent, recouped
424	78.14 - 78.15	[SEC. 11001.(a)] SEC. 1194.(e)(1)(B)	Current unit costs of production and distribution of the drug.	unit, costs, production, distribution, drug
425	78.16 - 78.18	[SEC. 11001.(a)] SEC. 1194.(e)(1)(C)	Prior Federal financial support for novel therapeutic discovery and development with respect to the drug.	prior, federal, financial, support, novel, therapeutic, discovery, development, respect, drug
426	78.19 - 78.24	[SEC. 11001.(a)] SEC. 1194.(e)(1)(D)	Data on pending and approved patent applications, exclusivities recognized by the Food and Drug Administration, and applications and approvals under section 505(c) of the Federal Food, Drug, and Cosmetic Act or section 351(a) of the Public Health Service Act for the drug.	data, pending, approved, patent, applications, exclusivities, recognized, food, drug, administration, approvals, federal, cosmetic, act, public, health, service
427	79.1 - 79.2	[SEC. 11001.(a)] SEC. 1194.(e)(1)(E)	Market data and revenue and sales volume data for the drug in the United States.	market, data, revenue, sales, volume, drug, united, states
428	79.3 - 79.6	[SEC. 11001.(a)] SEC. 1194.(e)(2)	EVIDENCE ABOUT ALTERNATIVE TREATMENTS. The following evidence, as available, with respect to such selected drug and therapeutic alternatives to such drug:	evidence, alternative, treatments, available, respect, selected, drug, therapeutic, alternatives
429	79.7 - 79.10	[SEC. 11001.(a)] SEC. 1194.(e)(2)(A)	The extent to which such drug represents a therapeutic advance as compared to existing therapeutic alternatives and the costs of such existing therapeutic alternatives.	extent, drug, represents, therapeutic, advance, compared, existing, alternatives, costs
430	79.11 - 79.13	[SEC. 11001.(a)] SEC. 1194.(e)(2)(B)	Prescribing information approved by the Food and Drug Administration for such drug and therapeutic alternatives to such drug.	prescribing, information, approved, food, drug, administration, therapeutic, alternatives
431	79.14 - 79.20	[SEC. 11001.(a)] SEC. 1194.(e)(2)(C)	Comparative effectiveness of such drug and therapeutic alternatives to such drug, taking into consideration the effects of such drug and therapeutic alternatives to such drug on specific populations, such as individuals with disabilities, the elderly, the terminally ill, children, and other patient populations.	comparative, effectiveness, drug, therapeutic, alternatives, taking, consideration, effects, populations, individuals, disabilities, elderly, terminally, ill, children, patient
432	79.21 - 80.7	[SEC. 11001.(a)] SEC. 1194.(e)(2)(D)	The extent to which such drug and therapeutic alternatives to such drug address unmet medical needs for a condition for which treatment or diagnosis is not addressed adequately by available therapy. In using evidence described in subparagraph (C), the Secretary shall not use evidence from comparative clinical effectiveness research in a manner that treats extending the life of an elderly, disabled, or terminally ill individual as of lower value than extending the life of an individual who is younger, nondisabled, or not terminally ill.	extent, drug, therapeutic, alternatives, address, unmet, medical, needs, condition, treatment, diagnosis, addressed, adequately, available, therapy, evidence, described, subparagraph, secretary, comparative, clinical, effectiveness, research, manner, treats, extending, life, elderly, disabled, terminally, ill, individual, lower, value, younger, nondisabled
433	80.8 - 80.8	[SEC. 11001.(a)] SEC. 1194.(f)	RENEGOTIATION PROCESS.	renegotiation, process
434	80.9 - 80.15	[SEC. 11001.(a)] SEC. 1194.(f)(1)	IN GENERAL. In the case of a renegotiation-eligible drug (as defined in paragraph (2)) that is selected under paragraph (3), the Secretary shall provide for a process of renegotiation (for years (beginning with 2028) during the price applicability period, with respect to such drug) of the maximum fair price for such drug consistent with paragraph (4).	case, renegotiation, eligible, drug, defined, selected, secretary, process, years, beginning, price, applicability, period, respect, maximum, fair, consistent
435	80.16 - 80.19	[SEC. 11001.(a)] SEC. 1194.(f)(2)	RENEGOTIATION-ELIGIBLE DRUG DEFINED. In this section, the term ‘renegotiation-eligible drug’ means a selected drug that is any of the following:	renegotiation, eligible, drug, defined, term, selected
436	80.20 - 80.22	[SEC. 11001.(a)] SEC. 1194.(f)(2)(A)	ADDITION OF NEW INDICATION. A selected drug for which a new indication is added to the drug.	addition, new, indication, selected, drug
437	80.23 - 80.24	[SEC. 11001.(a)] SEC. 1194.(f)(2)(B)	CHANGE OF STATUS TO AN EXTENDEDMONOPOLY DRUG. A selected drug that	status, extendedmonopoly, drug, selected
438	81.1 - 81.2	[SEC. 11001.(a)] SEC. 1194.(f)(2)(B)(i)	is not an extended-monopoly or a long-monopoly drug; and	extended, monopoly, drug
439	81.3 - 81.5	[SEC. 11001.(a)] SEC. 1194.(f)(2)(B)(ii)	for which there is a change in status to that of an extended-monopoly drug.	status, extended, monopoly, drug
440	81.6 - 81.7	[SEC. 11001.(a)] SEC. 1194.(f)(2)(C)	CHANGE OF STATUS TO A LONG-MONOPOLY DRUG. A selected drug that	status, monopoly, drug, selected
441	81.8 - 81.8	[SEC. 11001.(a)] SEC. 1194.(f)(2)(C)(i)	is not a long-monopoly drug; and	monopoly, drug
442	81.9 - 81.10	[SEC. 11001.(a)] SEC. 1194.(f)(2)(C)(ii)	for which there is a change in status to that of a long-monopoly drug.	status, monopoly, drug
443	81.11 - 81.14	[SEC. 11001.(a)] SEC. 1194.(f)(2)(D)	MATERIAL CHANGES. A selected drug for which the Secretary determines there has been a material change of any of the factors described in paragraph (1) or (2) of subsection (e).	material, selected, drug, secretary, determines, factors, described, subsection
444	81.15 - 81.18	[SEC. 11001.(a)] SEC. 1194.(f)(3)	SELECTION OF DRUGS FOR RENEGOTIATION. For each year (beginning with 2028), the Secretary shall select among renegotiation-eligible drugs for renegotiation as follows:	selection, drugs, renegotiation, beginning, secretary, select, eligible, follows
445	81.19 - 81.22	[SEC. 11001.(a)] SEC. 1194.(f)(3)(A)	ALL EXTENDED-MONOPOLY NEGOTIATION-ELIGIBLE DRUGS. The Secretary shall select all renegotiation-eligible drugs described in paragraph (2)(B).	extended, monopoly, negotiation, eligible, drugs, secretary, select, renegotiation, described
446	81.23 - 82.2	[SEC. 11001.(a)] SEC. 1194.(f)(3)(B)	ALL LONG-MONOPOLY NEGOTIATIONELIGIBLE DRUGS. The Secretary shall select all renegotiation-eligible drugs described in paragraph (2)(C).	monopoly, negotiationeligible, drugs, secretary, select, renegotiation, eligible, described
447	82.3 - 82.9	[SEC. 11001.(a)] SEC. 1194.(f)(3)(C)	REMAINING DRUGS. Among the remaining renegotiation-eligible drugs described in subparagraphs (A) and (D) of paragraph (2), the Secretary shall select renegotiation-eligible drugs for which the Secretary expects renegotiation is likely to result in a significant change in the maximum fair price otherwise negotiated.	remaining, drugs, renegotiation, eligible, described, subparagraphs, secretary, select, expects, likely, significant, maximum, fair, price, otherwise, negotiated
448	82.10 - 82.10	[SEC. 11001.(a)] SEC. 1194.(f)(4)	RENEGOTIATION PROCESS.	renegotiation, process
449	82.11 - 82.15	[SEC. 11001.(a)] SEC. 1194.(f)(4)(A)	IN GENERAL. The Secretary shall specify the process for renegotiation of maximum fair prices with the manufacturer of a renegotiation-eligible drug selected for renegotiation under this subsection.	secretary, specify, process, renegotiation, maximum, fair, prices, manufacturer, eligible, drug, selected, subsection
450	82.16 - 83.8	[SEC. 11001.(a)] SEC. 1194.(f)(4)(B)	CONSISTENT WITH NEGOTIATION PROCESS. The process specified under subparagraph (A) shall, to the extent practicable, be consistent with the methodology and process established under subsection (b) and in accordance with subsections (c), (d), and (e), and for purposes of applying subsections (c)(1)(A) and (d), the reference to the first initial price applicability year of the price applicability period with respect to such drug shall be treated as the first initial price applicability year of such period for which the maximum fair price established pursuant to such renegotiation applies, including for applying subsection (c)(3)(B) in the case of renegotiation-eligible drugs described in paragraph (3)(A) of this subsection and subsection (c)(3)(C) in the case of renegotiation-eligible drugs described in paragraph (3)(B) of this subsection.	consistent, negotiation, process, specified, subparagraph, extent, practicable, methodology, established, subsection, accordance, subsections, purposes, applying, reference, initial, price, applicability, period, respect, drug, treated, maximum, fair, pursuant, renegotiation, applies, case, eligible, drugs, described
452	83.9 - 83.13	[SEC. 11001.(a)] SEC. 1194.(f)(5)	CLARIFICATION. A renegotiation-eligible drug for which the Secretary makes a determination described in section 1192(c)(1) before or during the period of renegotiation shall not be subject to the renegotiation process under this section.	clarification, renegotiation, eligible, drug, secretary, determination, described, period, subject, process
453	83.14 - 83.18	[SEC. 11001.(a)] SEC. 1194.(g)	CLARIFICATION. The maximum fair price for a selected drug described in subparagraph (A) or (B) of paragraph (1) shall take effect no later than the first day of the first calendar quarter that begins after the date described in subparagraph (A) or (B), as applicable.	clarification, maximum, fair, price, selected, drug, described, subparagraph, effect, calendar, quarter, begins, applicable
454	83.19 - 83.19	[SEC. 11001.(a)] PART E SEC. 1195.	PUBLICATION OF MAXIMUM FAIR PRICES.	publication, maximum, fair, prices
455	83.20 - 83.22	[SEC. 11001.(a)] SEC. 1195.(a)	IN GENERAL. With respect to an initial price applicability year and a selected drug with respect to such year	respect, initial, price, applicability, selected, drug
456	83.23 - 84.2	[SEC. 11001.(a)] SEC. 1195.(a)(1)	not later than November 30 of the year that is 2 years prior to such initial price applicability year, the Secretary shall publish the maximum fair price for such drug negotiated with the manufacturer of such drug under this part; and	november, years, prior, initial, price, applicability, secretary, publish, maximum, fair, drug, negotiated, manufacturer
457	84.3 - 84.8	[SEC. 11001.(a)] SEC. 1195.(a)(2)	not later than March 1 of the year prior to such initial price applicability year, the Secretary shall publish, subject to section 1193(c), the explanation for the maximum fair price with respect to the factors as applied under section 1194(e) for such drug described in paragraph (1).	march, prior, initial, price, applicability, secretary, publish, subject, explanation, maximum, fair, respect, factors, applied, drug, described
458	84.9 - 84.9	[SEC. 11001.(a)] SEC. 1195.(b)	UPDATES.	updates
459	84.10 - 84.19	[SEC. 11001.(a)] SEC. 1195.(b)(1)	SUBSEQUENT YEAR MAXIMUM FAIR PRICES. For a selected drug, for each year subsequent to the first initial price applicability year of the price applicability period with respect to such drug, with respect to which an agreement for such drug is in effect under section 1193, not later than November 30 of the year that is 2 years prior to such subsequent year, the Secretary shall publish the maximum fair price applicable to such drug and year, which shall be	subsequent, maximum, fair, prices, selected, drug, initial, price, applicability, period, respect, agreement, effect, november, years, prior, secretary, publish, applicable
460	84.20 - 85.2	[SEC. 11001.(a)] SEC. 1195.(b)(1)(A)	subject to subparagraph (B), the amount equal to the maximum fair price published for such drug for the previous year, increased by the annual percentage increase in the consumer price index for all urban consumers (all items; United States city average) for the 12-month period ending with the July immediately preceding such November 30; or	subject, subparagraph, amount, equal, maximum, fair, price, published, drug, increased, annual, percentage, increase, consumer, index, urban, consumers, united, states, city, average, month, period, ending, july, immediately, preceding, november
461	85.3 - 85.6	[SEC. 11001.(a)] SEC. 1195.(b)(1)(B)	in the case the maximum fair price for such drug was renegotiated, for the first year for which such price as so renegotiated applies, such renegotiated maximum fair price.	case, maximum, fair, price, drug, renegotiated, applies
462	85.7 - 85.14	[SEC. 11001.(a)] SEC. 1195.(b)(2)	PRICES NEGOTIATED AFTER DEADLINE. In the case of a selected drug with respect to an initial price applicability year for which the maximum fair price is determined under this part after the date of publication under this section, the Secretary shall publish such maximum fair price by not later than 30 days after the date such maximum price is so determined.	prices, negotiated, deadline, case, selected, drug, respect, initial, price, applicability, maximum, fair, determined, publication, secretary, publish
463	85.15 - 85.16	[SEC. 11001.(a)] PART E SEC. 1196.	ADMINISTRATIVE DUTIES AND COMPLIANCE MONITORING.	administrative, duties, compliance, monitoring
464	85.17 - 85.19	[SEC. 11001.(a)] SEC. 1196.(a)	ADMINISTRATIVE DUTIES. For purposes of section 1191(a)(4), the administrative duties described in this section are the following:	administrative, duties, purposes, described
465	85.20 - 85.22	[SEC. 11001.(a)] SEC. 1196.(a)(1)	The establishment of procedures to ensure that the maximum fair price for a selected drug is applied before	establishment, procedures, ensure, maximum, fair, price, selected, drug, applied
466	85.23 - 86.3	[SEC. 11001.(a)] SEC. 1196.(a)(1)(A)	any coverage or financial assistance under other health benefit plans or programs that provide coverage or financial assistance for the purchase or provision of prescription drug coverage on behalf of maximum fair price eligible individuals; and	coverage, financial, assistance, health, benefit, plans, programs, purchase, provision, prescription, drug, behalf, maximum, fair, price, eligible, individuals
467	86.4 - 86.4	[SEC. 11001.(a)] SEC. 1196.(a)(1)(B)	any other discounts.	discounts
468	86.5 - 86.9	[SEC. 11001.(a)] SEC. 1196.(a)(2)	The establishment of procedures to compute and apply the maximum fair price across different strengths and dosage forms of a selected drug and not based on the specific formulation or package size or package type of such drug.	establishment, procedures, compute, apply, maximum, fair, price, across, strengths, dosage, forms, selected, drug, formulation, package, size, type
469	86.10 - 86.12	[SEC. 11001.(a)] SEC. 1196.(a)(3)	The establishment of procedures to carry out the provisions of this part, as applicable, with respect to	establishment, procedures, carry, provisions, applicable, respect
470	86.13 - 86.16	[SEC. 11001.(a)] SEC. 1196.(a)(3)(A)	maximum fair price eligible individuals who are enrolled in a prescription drug plan under part D of title XVIII or an MA–PD plan under part C of such title; and	maximum, fair, price, eligible, individuals, enrolled, prescription, drug, plan, xviii, ma, pd
471	86.17 - 86.20	[SEC. 11001.(a)] SEC. 1196.(a)(3)(B)	maximum fair price eligible individuals who are enrolled under part B of such title, including who are enrolled in an MA plan under part C of such title.	maximum, fair, price, eligible, individuals, enrolled, ma, plan
472	86.21 - 86.23	[SEC. 11001.(a)] SEC. 1196.(a)(4)	The establishment of a negotiation process and renegotiation process in accordance with section 1194.	establishment, negotiation, process, renegotiation, accordance
473	87.1 - 87.3	[SEC. 11001.(a)] SEC. 1196.(a)(5)	The establishment of a process for manufacturers to submit information described in section 1194(b)(2)(A).	establishment, process, manufacturers, submit, information, described
474	87.4 - 87.11	[SEC. 11001.(a)] SEC. 1196.(a)(6)	The sharing with the Secretary of the Treasury of such information as is necessary to determine the tax imposed by section 5000D of the Internal Revenue Code of 1986, including the application of such tax to a manufacturer, producer, or importer or the determination of any date described in section 5000D(c)(1) of such Code. For purposes of the preceding sentence, such information shall include	sharing, secretary, treasury, information, necessary, determine, tax, imposed, 5000d, internal, revenue, code, application, manufacturer, producer, importer, determination, described, purposes, preceding, sentence
475	87.12 - 87.17	[SEC. 11001.(a)] SEC. 1196.(a)(6)(A)	the date on which the Secretary receives notification of any termination of an agreement under the Medicare coverage gap discount program under section 1860D-14A and the date on which any subsequent agreement under such program is entered into;	secretary, receives, notification, termination, agreement, medicare, coverage, gap, discount, program, 1860d, 14a, subsequent, entered
476	87.18 - 87.23	[SEC. 11001.(a)] SEC. 1196.(a)(6)(B)	the date on which the Secretary receives notification of any termination of an agreement under the manufacturer discount program under section 1860D-14C and the date on which any subsequent agreement under such program is entered into; and	secretary, receives, notification, termination, agreement, manufacturer, discount, program, 1860d, 14c, subsequent, entered
477	87.24 - 88.3	[SEC. 11001.(a)] SEC. 1196.(a)(6)(C)	the date on which the Secretary receives notification of any termination of a rebate agreement described in section 1927(b) and the date on which any subsequent rebate agreement described in such section is entered into.	secretary, receives, notification, termination, rebate, agreement, described, subsequent, entered
478	88.4 - 88.5	[SEC. 11001.(a)] SEC. 1196.(a)(7)	The establishment of procedures for purposes of applying section 1192(d)(2)(B).	establishment, procedures, purposes, applying
479	88.6 - 88.10	[SEC. 11001.(a)] SEC. 1196.(b)	COMPLIANCE MONITORING. The Secretary shall monitor compliance by a manufacturer with the terms of an agreement under section 1193 and establish a mechanism through which violations of such terms shall be reported.	compliance, monitoring, secretary, monitor, manufacturer, terms, agreement, establish, mechanism, violations, reported
480	88.11 - 88.11	[SEC. 11001.(a)] PART E SEC. 1197.	CIVIL MONETARY PENALTIES.	civil, monetary, penalties
481	88.12 - 88.18	[SEC. 11001.(a)] SEC. 1197.(a)	VIOLATIONS RELATING TO OFFERING OF MAXIMUM FAIR PRICE. Any manufacturer of a selected drug that has entered into an agreement under section 1193, with respect to a year during the price applicability period with respect to such drug, that does not provide access to a price that is equal to or less than the maximum fair price for such drug for such year	violations, relating, offering, maximum, fair, price, manufacturer, selected, drug, entered, agreement, respect, applicability, period, access, equal
482	88.19 - 88.25	[SEC. 11001.(a)] SEC. 1197.(a)(1)	to a maximum fair price eligible individual who with respect to such drug is described in subparagraph (A) of section 1191(c)(2) and who is dispensed such drug during such year (and to pharmacies, mail order services, and other dispensers, with respect to such maximum fair price eligible individuals who are dispensed such drugs); or	maximum, fair, price, eligible, individual, respect, drug, described, subparagraph, dispensed, pharmacies, mail, order, services, dispensers, individuals, drugs
483	89.1 - 89.15	[SEC. 11001.(a)] SEC. 1197.(a)(2)	to a hospital, physician, or other provider of services or supplier with respect to maximum fair price eligible individuals who with respect to such drug is described in subparagraph (B) of such section and is furnished or administered such drug by such hospital, physician, or provider or supplier during such year; shall be subject to a civil monetary penalty equal to ten times the amount equal to the product of the number of units of such drug so furnished, dispensed, or administered during such year and the difference between the price for such drug made available for such year by such manufacturer with respect to such individual or hospital, physician, provider of services, or supplier and the maximum fair price for such drug for such year.	hospital, physician, provider, services, supplier, respect, maximum, fair, price, eligible, individuals, drug, described, subparagraph, furnished, administered, subject, civil, monetary, penalty, equal, amount, product, number, units, dispensed, difference, available, manufacturer, individual
484	89.16 - 89.24	[SEC. 11001.(a)] SEC. 1197.(b)	VIOLATIONS OF CERTAIN TERMS OF AGREEMENT. Any manufacturer of a selected drug that has entered into an agreement under section 1193, with respect to a year during the price applicability period with respect to such drug, that is in violation of a requirement imposed pursuant to section 1193(a)(5), including the requirement to submit information pursuant to section 1193(a)(4), shall be subject to a civil monetary penalty equal to $1,000,000 for each day of such violation.	violations, certain, terms, agreement, manufacturer, selected, drug, entered, respect, price, applicability, period, violation, requirement, imposed, pursuant, submit, information, subject, civil, monetary, penalty, equal, 1,000,000
485	90.1 - 90.4	[SEC. 11001.(a)] SEC. 1197.(c)	FALSE INFORMATION. Any manufacturer that knowingly provides false information pursuant to section 1196(a)(7) shall be subject to a civil monetary penalty equal to $100,000,000 for each item of such false information.	false, information, manufacturer, knowingly, pursuant, subject, civil, monetary, penalty, equal, 100,000,000
486	90.5 - 90.9	[SEC. 11001.(a)] SEC. 1197.(d)	APPLICATION. The provisions of section 1128A (other than subsections (a) and (b)) shall apply to a civil monetary penalty under this section in the same manner as such provisions apply to a penalty or proceeding under section 1128A(a).	application, provisions, 1128a, subsections, apply, civil, monetary, penalty, manner, proceeding
487	90.10 - 90.13	[SEC. 11001.(a)] PART E SEC. 1198.	LIMITATION ON ADMINISTRATIVE AND JUDICIAL REVIEW. ‘‘There shall be no administrative or judicial review of any of the following:	limitation, administrative, judicial, review
488	90.14 - 90.16	[SEC. 11001.(a)] SEC. 1198.(1)	The determination of a unit, with respect to a drug or biological product, pursuant to section 1191(c)(6).	determination, unit, respect, drug, biological, product, pursuant
489	90.17 - 90.20	[SEC. 11001.(a)] SEC. 1198.(2)	The selection of drugs under section 1192(b), the determination of negotiation-eligible drugs under section 1192(d), and the determination of qualifying single source drugs under section 1192(e).	selection, drugs, determination, negotiation, eligible, qualifying, source
490	90.21 - 90.22	[SEC. 11001.(a)] SEC. 1198.(3)	The determination of a maximum fair price under subsection (b) or (f) of section 1194.	determination, maximum, fair, price, subsection
491	90.23 - 90.25	[SEC. 11001.(a)] SEC. 1198.(4)	The determination of renegotiation-eligible drugs under section 1194(f)(2) and the selection of renegotiation-eligible drugs under section 1194(f)(3).’’.	determination, renegotiation, eligible, drugs, selection
492	91.1 - 91.2	SEC. 11001.(b)	APPLICATION OF MAXIMUM FAIR PRICES AND CONFORMING AMENDMENTS.	application, maximum, fair, prices, conforming, amendments
493	91.3 - 91.3	SEC. 11001.(b)(1)	UNDER MEDICARE.	medicare
494	91.4 - 91.14	SEC. 11001.(b)(1)(A)	APPLICATION TO PAYMENTS UNDER PART B. Section 1847A(b)(1)(B) of the Social Security Act (42 U.S.C. 1395w–3a(b)(1)(B)) is amended by inserting ‘‘or in the case of such a drug or biological product that is a selected drug (as referred to in section 1192(c)), with respect to a price applicability period (as defined in section 1191(b)(2)), 106 percent of the maximum fair price (as defined in section 1191(c)(3)) applicable for such drug and a year during such period’’ after ‘‘paragraph (4)’’.	application, payments
496	91.15 - 91.19	SEC. 11001.(b)(1)(B)	APPLICATION UNDER MA OF COSTSHARING FOR PART B DRUGS BASED OFF OF NEGOTIATED PRICE. Section 1852(a)(1)(B)(iv) of the Social Security Act (42 U.S.C. 1395w– 22(a)(1)(B)(iv)) is amended	application, ma, costsharing, drugs, negotiated, price, iv, social, security, act, u.s.c, 1395w, amended
497	91.20 - 91.21	SEC. 11001.(b)(1)(B)(i)	by redesignating subclause (VII) as subclause (VIII); and	redesignating, subclause, vii, viii
498	91.22 - 91.23	SEC. 11001.(b)(1)(B)(ii)	by inserting after subclause (VI) the following subclause:	inserting, subclause, vi
499	92.1 - 92.3	[SEC. 11001.(b)(1)(B)(ii)] (VII)	A drug or biological product that is a selected drug (as referred to in section 1192(c)).’’.	drug, biological, product, selected, referred
500	92.4 - 92.7	SEC. 11001.(b)(1)(C)	EXCEPTION TO PART D NON-INTERFERENCE. Section 1860D–11(i) of the Social Security Act (42 U.S.C. 1395w–111(i)) is amended	exception, interference, 1860d, social, security, act, u.s.c, 1395w, amended
501	92.8 - 92.9	SEC. 11001.(b)(1)(C)(i)	in paragraph (1), by striking ‘‘and’’ at the end;	striking
502	92.10 - 92.14	SEC. 11001.(b)(1)(C)(ii)	in paragraph (2), by striking ‘‘or institute a price structure for the reimbursement of covered part D drugs.’’ and inserting ‘‘, except as provided under section 1860D–4(b)(3)(l); and’’; and	striking, institute, price, structure, reimbursement, covered, drugs, inserting, except, 1860d
503	92.15 - 92.16	SEC. 11001.(b)(1)(C)(iii)	by adding at the end the following new paragraph:	adding, new
504	92.17 - 92.19	[SEC. 11001.(b)(1)(C)(iii)] (3)	may not institute a price structure for the reimbursement of covered part D drugs, except as provided under part E of title XI.’’.	institute, price, structure, reimbursement, covered, drugs, except, xi
505	92.20 - 92.23	SEC. 11001.(b)(1)(D)	APPLICATION AS NEGOTIATED PRICE UNDER PART D. Section 1860D–2(d)(1) of the Social Security Act (42 U.S.C. 1395w– 102(d)(1)) is amended	application, negotiated, price, 1860d, social, security, act, u.s.c, 1395w, amended
506	93.1 - 93.3	SEC. 11001.(b)(1)(D)(i)	in subparagraph (B), by inserting ‘‘, subject to subparagraph (D),’’ after ‘‘negotiated prices’’; and	subparagraph, inserting, subject, negotiated, prices
507	93.4 - 93.5	SEC. 11001.(b)(1)(D)(ii)	by adding at the end the following new subparagraph:	adding, new, subparagraph
508	93.6 - 93.17	[SEC. 11001.(b)(1)(D)(ii)] (D)	APPLICATION OF MAXIMUM FAIR PRICE FOR SELECTED DRUGS. In applying this section, in the case of a covered part D drug that is a selected drug (as referred to in section 1192(c)), with respect to a price applicability period (as defined in section 1191(b)(2)), the negotiated prices used for payment (as described in this subsection) shall be no greater than the maximum fair price (as defined in section 1191(c)(3)) for such drug and for each year during such period plus any dispensing fees for such drug.’’.	application, maximum, fair, price, selected, drugs, applying, case, covered, drug, referred, respect, applicability, period, defined, negotiated, prices, payment, described, subsection, greater, dispensing, fees
509	93.18 - 93.22	SEC. 11001.(b)(1)(E)	COVERAGE OF SELECTED DRUGS. Section 1860D–4(b)(3) of the Social Security Act (42 U.S.C. 1395w–104(b)(3)) is amended by adding at the end the following new subparagraph:	coverage, selected, drugs, 1860d, social, security, act, u.s.c, 1395w, amended, adding, new, subparagraph
510	93.23 - 93.24	[SEC. 11001.(b)(1)(E)] (I)	REQUIRED INCLUSION OF SELECTED DRUGS.	required, inclusion, selected, drugs
511	94.1 - 94.7	[SEC. 11001.(b)(1)(E)] (i)	IN GENERAL. For 2026 and each subsequent year, the PDP sponsor offering a prescription drug plan shall include each covered part D drug that is a selected drug under section 1192 for which a maximum fair price (as defined in section 1191(c)(3)) is in effect with respect to the year.	subsequent, pdp, sponsor, offering, prescription, drug, plan, covered, selected, maximum, fair, price, defined, effect, respect
512	94.8 - 94.14	[SEC. 11001.(b)(1)(E)] (ii)	CLARIFICATION. Nothing in clause (i) shall be construed as prohibiting a PDP sponsor from removing such a selected drug from a formulary if such removal would be permitted under section 423.120(b)(5)(iv) of title 42, Code of Federal Regulations (or any successor regulation).’’.	clarification, nothing, clause, construed, prohibiting, pdp, sponsor, removing, selected, drug, formulary, removal, permitted, iv, code, federal, regulations, successor, regulation
513	94.15 - 94.16	SEC. 11001.(b)(1)(F)	INFORMATION FROM PRESCRIPTION DRUG PLANS AND MA–PD PLANS REQUIRED.	information, prescription, drug, plans, ma, pd, required
514	94.17 - 94.21	SEC. 11001.(b)(1)(F)(i)	PRESCRIPTION DRUG PLANS. Section 1860D–12(b) of the Social Security Act (42 U.S.C. 1395w–112(b)) is amended by adding at the end the following new paragraph:	prescription, drug, plans, 1860d, social, security, act, u.s.c, 1395w, amended, adding, new
515	94.22 - 95.3	[SEC. 11001.(b)(1)(F)(i)] (8)	PROVISION OF INFORMATION RELATED TO MAXIMUM FAIR PRICES. Each contract entered into with a PDP sponsor under this part with respect to a prescription drug plan offered by such sponsor shall require the sponsor to provide information to the Secretary as requested by the Secretary for purposes of carrying out section 1194.’’.	provision, information, related, maximum, fair, prices, contract, entered, pdp, sponsor, respect, prescription, drug, plan, offered, require, secretary, requested, purposes, carrying
516	95.4 - 95.8	SEC. 11001.(b)(1)(F)(ii)	MA–PD PLANS. Section 1857(f)(3) of the Social Security Act (42 U.S.C. 1395w–27(f)(3)) is amended by adding at the end the following new subparagraph:	ma, pd, plans, social, security, act, u.s.c, 1395w, amended, adding, new, subparagraph
517	95.9 - 95.11	[SEC. 11001.(b)(1)(F)(ii)] (E)	PROVISION OF INFORMATION RELATED TO MAXIMUM FAIR PRICES. Section 1860D– 12(b)(8).’’.	provision, information, related, maximum, fair, prices, 1860d
518	95.12 - 95.12	SEC. 11001.(b)(1)(G)	CONDITIONS FOR COVERAGE.	conditions, coverage
519	95.13 - 95.15	SEC. 11001.(b)(1)(G)(i)	MEDICARE PART D. Section 1860D–43(c) of the Social Security Act (42 U.S.C. 1395w–153(c)) is amended	medicare, 1860d, social, security, act, u.s.c, 1395w, amended
520	95.16 - 95.18	SEC. 11001.(b)(1)(G)(i)(I)	by redesignating paragraphs (1)  and (2) as subparagraphs (A) and (B), respectively;	redesignating, paragraphs
523	95.19 - 95.23	SEC. 11001.(b)(1)(G)(i)(II)	by striking ‘‘AGREEMENTS. Subsection’’ and inserting the following: ‘‘AGREEMENTS. (1)  IN GENERAL. Subject to paragraph (2), subsection’’; and	striking, agreements, subsection, inserting
525	95.24 - 95.25	SEC. 11001.(b)(1)(G)(i)(III)	by adding at the end the following new paragraph:	adding, new
526	96.1 - 96.5	[SEC. 11001.(b)(1)(G)(i)(III)] (2)	EXCEPTION. Paragraph (1)(A) shall not apply to a covered part D drug of a manufacturer for any period described in section 5000D(c)(1) of the Internal Revenue Code of 1986 with respect to the manufacturer.’’.	exception, apply, covered, drug, manufacturer, period, described, 5000d, internal, revenue, code, respect
