Item	Page_Lines	Para	Text	Keywords
157	27.7 - 27.9	[TITLE I SEC. 101.(a)] SEC. 4694.(b)(3)(E)(i)	the applicable amount determined under section 4691(b) per ton of carbon dioxide equivalent; and	applicable, amount, determined, ton, carbon, dioxide, equivalent
158	27.10 - 27.13	[TITLE I SEC. 101.(a)] SEC. 4694.(b)(3)(E)(ii)	the total carbon dioxide equivalent tons of methane and other associated emissions reported by the operator or entity in the report.	total, carbon, dioxide, equivalent, tons, methane, associated, emissions, reported, operator, entity, report
159	27.14 - 27.14	[TITLE I SEC. 101.(a)] SEC. 4694.(b)(4)	IMPORTS.—	imports
160	27.15 - 28.11	[TITLE I SEC. 101.(a)] SEC. 4694.(b)(4)(A)	IN GENERAL.—In the case of any calendar year beginning after 2022, the fee imposed under section 4691(a)(1) with respect to any coal, petroleum product, or natural gas imported into the United States (referred to in this paragraph as the ‘applicable product’) shall be increased by the amount determined by the Secretary (in consultation with the Administrator of the Environmental Protection Agency) necessary to ensure that the total fees collected under such section with respect to such applicable product are equal to the total amount of such fees that would be collected on such applicable product if the fee imposed under section 4691(a)(1) also applied to the carbon-dioxide equivalent of the average amount of methane and other associated emissions emitted in the production of such applicable product (using a country-of-origin industry average, as determined by the Secretary in consultation with the Administrator of the Environmental Protection Agency).	general, case, calendar, beginning, fee, imposed, respect, coal, petroleum, product, natural, gas, imported, united, states, referred, paragraph, applicable, increased, amount, determined, secretary, consultation, administrator, environmental, protection, agency, necessary, ensure, total, fees, collected, equal, applied, carbon, dioxide, equivalent, average, methane, associated, emissions, emitted, production, country, origin, industry
161	28.12 - 29.9	[TITLE I SEC. 101.(a)] SEC. 4694.(b)(4)(B)	ELECTION.—If an importer elects to provide reliable data (as determined by the Secretary based upon the most recent calendar year for which such data is available, which may not be for any year beginning more than 3 years prior to importation) demonstrating the average actual methane and other associated emissions generated per unit of production of the applicable product, the fee imposed under section 4691(a)(1) with respect such applicable product imported into the United States shall be increased by the amount determined by the Secretary (in consultation with the Administrator of the Environmental Protection Agency) necessary to ensure that the total fees collected under such section with respect to such applicable product are equal to the total amount of such fees that would be collected on such applicable product if the fee imposed under section 4691(a)(1) also applied to the carbon-dioxide equivalent of the actual average amount of methane and other associated emissions emitted in the production of such applicable product.	election, importer, elects, reliable, data, determined, secretary, calendar, available, may, beginning, years, prior, importation, demonstrating, average, actual, methane, associated, emissions, generated, unit, production, applicable, product, fee, imposed, respect, imported, united, states, increased, amount, consultation, administrator, environmental, protection, agency, necessary, ensure, total, fees, collected, equal, applied, carbon, dioxide, equivalent, emitted
162	29.10 - 29.11	[TITLE I SEC. 101.(a)] SEC. 4695.	BORDER ADJUSTMENTS FOR ENERGY-INTENSIVE MANUFACTURED GOODS.	border, adjustments, energy, intensive, manufactured, goods
163	29.12 - 29.13	[TITLE I SEC. 101.(a)] SEC. 4695.(a)	PURPOSE.—The purpose of this section is to ensure the environmental effectiveness of this subchapter.	purpose, ensure, environmental, effectiveness, subchapter
164	29.14 - 29.14	[TITLE I SEC. 101.(a)] SEC. 4695.(b)	EXPORTS.—	exports
165	29.15 - 29.24	[TITLE I SEC. 101.(a)] SEC. 4695.(b)(1)	IN GENERAL.—In the case of any energyintensive manufactured good which is exported from the United States and which is manufactured after December 31, 2022, the Secretary shall pay to the person exporting such good a refund equal to the amount of the cost of such good attributable to any fees imposed under this subchapter related to the manufacturing of such energy-intensive manufactured good (as determined under regulations established by the Secretary).	general, case, energyintensive, manufactured, exported, united, states, december, secretary, exporting, refund, equal, amount, cost, attributable, fees, imposed, subchapter, related, manufacturing, energy, intensive, determined, regulations, established
166	30.1 - 30.6	[TITLE I SEC. 101.(a)] SEC. 4695.(b)(2)	DETERMINATION OF REFUND.—The amount of the refund under paragraph (1) shall be determined based on the average amount of the cost of such good, as produced by the domestic manufacturer, which is attributable to any fees imposed under this subchapter.	determination, refund, amount, paragraph, determined, average, cost, produced, domestic, manufacturer, attributable, fees, imposed, subchapter
167	30.7 - 30.7	[TITLE I SEC. 101.(a)] SEC. 4695.(c)	IMPORTS.—	imports
168	30.8 - 30.8	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)	IMPOSITION OF EQUIVALENCY FEE.—	imposition, equivalency, fee
169	30.9 - 30.14	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(A)	IN GENERAL.—In the case of any energy-intensive manufactured good imported into the United States after December 31, 2022, there is imposed an equivalency fee on the person importing such good in an amount equal to the amount determined under subparagraph (B)(as determined under regulations established by the Secretary).	general, case, energy, intensive, manufactured, imported, united, states, december, imposed, equivalency, fee, importing, amount, equal, determined, subparagraph
171	30.17 - 30.17	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)	DETERMINATION OF FEE.—	determination, fee
172	30.18 - 30.18	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(i)	IN GENERAL.—Subject to clause (ii), the amount of the equivalency fee under subparagraph (A) shall be an amount equal to the product of—	general, subject, clause
174	30.22 - 31.2	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(i)(I)	the amount of any fees that would be imposed under this subchapter if the energy-intensive manufactured good was manufactured in the United States, multiplied by	amount, fees, imposed, subchapter, energy, intensive, manufactured, united, states, multiplied
175	31.3 - 31.4	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(i)(II)	an amount equal to the quotient of—	amount, equal, quotient
176	31.5 - 31.11	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(i)(II)(aa)	the average economywide carbon intensity of the country in which such good was produced (as determined by the Secretary based upon the most recent year for which reliable data is available), divided by	average, economywide, carbon, intensity, country, produced, determined, secretary, reliable, data, available, divided
177	31.12 - 31.14	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(i)(II)(bb)	the average economywide carbon intensity of the United States (as so determined).	average, economywide, carbon, intensity, united, states, determined
178	31.15 - 31.15	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(ii)	ALTERNATIVE CALCULATIONS.—	alternative, calculations
179	31.16 - 32.2	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(ii)(I)	INDUSTRY-SPECIFIC DATA.— In the case of any energy-intensive manufactured good for which reliable industry-specific data is available (as determined by the Secretary), the amount of the equivalency fee under subparagraph (A) shall be an amount equal to the amount determined under clause (i) for such good, as determined by substituting ‘industry-specific’ for ‘economy-wide’ each place it appears.	industry, data, case, energy, intensive, manufactured, reliable, available, determined, secretary, amount, equivalency, fee, subparagraph, equal, clause, substituting, economy, appears
180	32.3 - 32.15	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(ii)(II)	ELECTION.—In the case of any energy-intensive manufactured good for which the importer of such good elects application of this subclause and provides reliable data (as determined by the Secretary based upon the most recent calendar year for which such data is available, which may not be for any year beginning more than 3 years prior to importation), the amount of the equivalency fee under subparagraph (A) shall be an amount equal to the product of—	election, case, energy, intensive, manufactured, importer, elects, application, subclause, reliable, data, determined, secretary, calendar, available, may, beginning, years, prior, importation, amount, equivalency, fee, subparagraph, equal, product
181	32.16 - 32.21	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(ii)(II)(aa)	the amount of any fees that would be imposed under this subchapter if the energy-intensive manufactured good was manufactured in the United States, multiplied by	amount, fees, imposed, subchapter, energy, intensive, manufactured, united, states, multiplied
182	32.22 - 32.23	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(ii)(II)(bb)	an amount equal to the quotient of—	amount, equal, quotient
183	32.24 - 33.8	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(ii)(II)(bb)(AA)	the total amount of greenhouse gas emissions related to the production of such good and any similar goods by the manufacturer and any parent company, subsidiary, or affiliate of such manufacturer during such calendar year, divided by	total, amount, greenhouse, gas, emissions, related, production, goods, manufacturer, parent, company, subsidiary, affiliate, calendar, divided
184	33.9 - 33.15	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(1)(B)(ii)(II)(bb)(BB)	the total number of such goods which were produced by the manufacturer and any parent company, subsidiary, or affiliate of such manufacturer during such calendar year.	total, number, goods, produced, manufacturer, parent, company, subsidiary, affiliate, calendar
185	33.16 - 33.21	[TITLE I SEC. 101.(a)] SEC. 4695.(c)(2)	REDUCTION IN FEE.—The amount of the equivalency fee under paragraph (1) shall be reduced by the amount, if any, of any carbon-based fees imposed on such energy-intensive manufactured goods by the foreign nation or governmental units from which such good was imported.	reduction, fee, amount, equivalency, paragraph, reduced, carbon, fees, imposed, energy, intensive, manufactured, goods, foreign, nation, governmental, units, imported
186	33.22 - 34.2	[TITLE I SEC. 101.(a)] SEC. 4695.(d)	TREATMENT OF ALTERNATIVE POLICIES AS FEES.—Under regulations established by the Secretary, foreign policies that place an indirect price on carbon through various credit or emissions trading regimes shall be treated as fees for purposes of subsection (c)(2).	treatment, alternative, policies, fees, regulations, established, secretary, foreign, indirect, price, carbon, credit, emissions, trading, regimes, treated, purposes, subsection
187	34.3 - 34.3	[TITLE I SEC. 101.(a)] SEC. 4695.(e)	REGULATORY AUTHORITY.—	regulatory, authority
188	34.4 - 34.9	[TITLE I SEC. 101.(a)] SEC. 4695.(e)(1)	IN GENERAL.—The Secretary shall consult with the Administrator of the Environmental Protection Agency, the Secretary of Energy, the Secretary of Commerce, and the United States Trade Representative, in establishing rules and regulations implementing the purposes of this section.	general, secretary, consult, administrator, environmental, protection, agency, energy, commerce, united, states, trade, representative, establishing, rules, regulations, implementing, purposes
189	34.10 - 34.18	[TITLE I SEC. 101.(a)] SEC. 4695.(e)(2)	TREATIES.—The Secretary, in consultation with the Secretary of State, may adjust the applicable amounts of the refunds and equivalency fees under this section in a manner that is consistent with any obligations of the United States under an international agreement, provided that any such adjustment does not undermine the purpose of this section to prevent carbon leakage to foreign countries or result in harm to domestic manufacturers.	treaties, secretary, consultation, state, may, adjust, applicable, amounts, refunds, equivalency, fees, manner, consistent, obligations, united, states, international, agreement, adjustment, undermine, purpose, prevent, carbon, leakage, foreign, countries, harm, domestic, manufacturers
190	34.19 - 34.19	[TITLE I SEC. 101.(a)] SEC. 4696.	DEFINITIONS AND OTHER RULES.	definitions, rules
191	34.20 - 34.21	[TITLE I SEC. 101.(a)] SEC. 4696.(a)	DEFINITIONS.—For purposes of this subchapter:	definitions, purposes, subchapter
192	34.22 - 34.25	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(1)	ASSOCIATED EMISSIONS.—The term ‘associated emissions’ means greenhouse gas emissions attributable to venting, flaring, and leakage across the supply chain or any other incidental process.	associated, emissions, term, greenhouse, gas, attributable, venting, flaring, leakage, across, supply, chain, incidental, process
193	35.1 - 35.1	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(2)	CARBON DIOXIDE EQUIVALENT.—	carbon, dioxide, equivalent
194	35.2 - 35.10	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(2)(A)	IN GENERAL.—Subject to subparagraph (B), the term ‘carbon dioxide equivalent’ means, with respect to a greenhouse gas, the quantity of such gas that has a global warming potential equivalent to 1 metric ton of carbon dioxide, as determined pursuant to table A–1 of subpart A of part 98 of title 40, Code of Federal Regulations, as in effect on the date of the enactment of the Save Our Future Act.	general, subject, subparagraph, term, carbon, dioxide, equivalent, respect, greenhouse, gas, quantity, global, warming, potential, metric, ton, determined, pursuant, table, subpart, title, code, federal, regulations, effect, enactment, future, act
195	35.11 - 35.18	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(2)(B)	EXCEPTION.—In the case of methane, the term ‘carbon dioxide equivalent’ means the quantity of methane that has the same global warming potential over a 20-year period as 1 metric ton of carbon dioxide, as determined in accordance with the Fourth Assessment Report of the Intergovernmental Panel on Climate Change.	exception, case, methane, term, carbon, dioxide, equivalent, quantity, global, warming, potential, period, metric, ton, determined, accordance, fourth, assessment, report, intergovernmental, panel, climate
196	35.19 - 35.20	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(3)	COAL.—The term ‘coal’ has the same meaning given such term under section 48A(c)(4).	coal, term, meaning, 48a
197	35.21 - 35.22	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)	ENERGY-INTENSIVE MANUFACTURED GOOD.—	energy, intensive, manufactured
198	35.23 - 36.3	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(A)	IN GENERAL.—The term ‘energy-intensive manufactured good’ means any manufactured good (other than any petroleum product or fossil fuel) for which not less than 5 percent of the cost of which is attributable to energy costs, as determined by the Secretary.	general, term, energy, intensive, manufactured, petroleum, product, fossil, fuel, cost, attributable, costs, determined, secretary
199	36.4 - 36.5	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(B)	LIST OF ENERGY-INTENSIVE MANUFACTURED GOODS.—	energy, intensive, manufactured, goods
200	36.6 - 36.10	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(B)(i)	INITIAL LIST.—Not later than 180 days after the date of the enactment of this Act, the Secretary shall publish a list of goods which qualify as energy-intensive manufactured goods.	initial, enactment, act, secretary, publish, goods, qualify, energy, intensive, manufactured
201	36.11 - 36.13	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(B)(ii)	UPDATES.—Not less frequently than annually, the Secretary shall update the list published under this subparagraph.	updates, frequently, annually, secretary, update, published, subparagraph
202	36.14 - 36.18	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(5)	GREENHOUSE GAS.—The term ‘greenhouse gas’ has the meaning given such term under section 211(o)(1)(G) of the Clean Air Act, as in effect on the date of the enactment of the Save Our Future Act.	greenhouse, gas, term, meaning, clean, air, act, effect, enactment, future
203	36.19 - 36.20	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(6)	NATURAL GAS.—The term ‘natural gas’ means—	natural, gas, term
204	36.21 - 36.22	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(6)(A)	any product described in section 613A(e)(2), and	product, described, 613a
205	36.23 - 37.2	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(6)(B)	any natural gas liquids produced during natural gas extraction, including ethane, propane, normal butane, isobutene, pentanes, and other hydrocarbons.	natural, gas, liquids, produced, extraction, ethane, propane, normal, butane, isobutene, pentanes, hydrocarbons
206	37.3 - 37.8	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(7)	PETROLEUM PRODUCT.—The term ‘petroleum product’ has the same meaning given such product under section 4612(a)(3) and shall include any natural gas liquids produced during crude oil extraction, including ethane, propane, normal butane, isobutene, pentanes, and other hydrocarbons.	petroleum, product, term, meaning, natural, gas, liquids, produced, crude, oil, extraction, ethane, propane, normal, butane, isobutene, pentanes, hydrocarbons
207	37.9 - 37.14	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(8)	SINGLE-USE PLASTIC PRODUCT.—The term ‘single-use plastic product’ means any plastic product that is routinely disposed of after a single use (including plastic packaging, film, cups, cutlery, straws, and bags), unless such product is designed to be used solely for medical purposes.	plastic, product, term, routinely, disposed, packaging, film, cups, cutlery, straws, bags, unless, designed, solely, medical, purposes
208	37.15 - 37.23	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(9)	SUPPLY CHAIN.—The term ‘supply chain’ means extraction and processing of coal and natural gas, extraction and refining of petroleum products, and the transmission, transport, storage, distribution, import, export, and other activities related to supplying coal, petroleum products, and natural gas to a consumer, not otherwise covered elsewhere in this subchapter as determined by the Administrator of the Environmental Protection Agency.	supply, chain, term, extraction, processing, coal, natural, gas, refining, petroleum, products, transmission, transport, storage, distribution, import, export, activities, related, supplying, consumer, otherwise, covered, elsewhere, subchapter, determined, administrator, environmental, protection, agency
209	37.24 - 37.24	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(10)	TON.—	ton
210	38.1 - 38.6	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(10)(A)	IN GENERAL.—The term ‘ton’ means 1,000 kilograms. In the case of any greenhouse gas which is a gas, the term ‘ton’ means the amount of such gas in cubic meters which is the equivalent of 1,000 kilograms on a molecular weight basis.	general, term, ton, 1,000, kilograms, case, greenhouse, gas, amount, cubic, meters, equivalent, molecular, weight, basis
211	38.7 - 38.11	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(10)(B)	FRACTIONAL PART OF TON.—In the case of a fraction of a ton, any fee imposed by this subchapter on such fraction shall be the same fraction of the amount of such fee imposed on a whole ton.	fractional, ton, case, fraction, fee, imposed, subchapter, amount
212	38.12 - 38.14	[TITLE I SEC. 101.(a)] SEC. 4696.(a)(11)	UNITED STATES.—The term ‘United States’ has the meaning given such term by section 4612(a)(4).	united, states, term, meaning
213	38.15 - 38.15	[TITLE I SEC. 101.(a)] SEC. 4696.(b)	OTHER RULES.—	rules
214	38.16 - 38.19	[TITLE I SEC. 101.(a)] SEC. 4696.(b)(1)	ASSESSMENT AND COLLECTION.—Payment of the fee imposed by sections 4691, 4692, and 4693 shall be assessed and collected in the same manner as taxes under this subtitle.	assessment, collection, payment, fee, imposed, sections, assessed, collected, manner, taxes, subtitle
215	38.20 - 38.22	[TITLE I SEC. 101.(a)] SEC. 4696.(b)(2)	REGULATIONS.—The Secretary shall prescribe such regulations as may be necessary to carry out the provisions of this subchapter.’’.	regulations, secretary, prescribe, may, necessary, carry, provisions, subchapter
216	38.23 - 39.2	TITLE I SEC. 101.(b)	CLERICAL AMENDMENT.—The table of subchapters for chapter 38 of the Internal Revenue Code of 1986 is amended by adding at the end the following new item:	clerical, amendment, table, subchapters, chapter, internal, revenue, code, amended, adding, new
217	39.3 - 39.5	TITLE I SEC. 101.(c)	EFFECTIVE DATE.—The amendments made by this section shall apply to periods beginning after December 31, 2022.	effective, amendments, apply, periods, beginning, december
218	39.6 - 39.6	TITLE I SEC. 102.	FEES ON CRITERIA AIR POLLUTANTS.	fees, criteria, air, pollutants
219	39.7 - 39.7	TITLE I SEC. 102.(a)	DEFINITIONS.—In this section:	definitions
220	39.8 - 39.10	TITLE I SEC. 102.(a)(1)	ADMINISTRATOR.—The term ‘‘Administrator’’ means Administrator of the Environmental Protection Agency.	administrator, term, environmental, protection, agency
221	39.11 - 39.19	TITLE I SEC. 102.(a)(2)	COMMUNITY OF COLOR.—The term ‘‘community of color’’ means a census tract in which the population of any of the following categories of individuals is higher than the average population of that category for the State in which the census tract is located, or in which the cumulative population of 2 or more of the following categories is higher than the State average population of those 2 or more categories:	community, term, census, tract, population, categories, individuals, average, category, state, located, cumulative
222	39.20 - 39.20	TITLE I SEC. 102.(a)(2)(A)	Black.	black
223	39.21 - 39.21	TITLE I SEC. 102.(a)(2)(B)	African American.	african, american
224	39.22 - 39.22	TITLE I SEC. 102.(a)(2)(C)	Asian.	asian
225	39.23 - 39.23	TITLE I SEC. 102.(a)(2)(D)	Native American.	native, american
226	39.24 - 39.24	TITLE I SEC. 102.(a)(2)(E)	Other non-White race.	white, race
227	40.1 - 40.1	TITLE I SEC. 102.(a)(2)(F)	Hispanic.	hispanic
228	40.2 - 40.2	TITLE I SEC. 102.(a)(2)(G)	Latino.	latino
229	40.3 - 40.3	TITLE I SEC. 102.(a)(2)(H)	Linguistically isolated.	linguistically, isolated
230	40.4 - 40.6	TITLE I SEC. 102.(a)(3)	CRITERIA AIR POLLUTANT.—The term ‘‘criteria air pollutant’’ is within the meaning of the Clean Air Act (42 U.S.C. 7401 et seq.).	criteria, air, pollutant, term, meaning, clean, act, u.s.c, seq
231	40.7 - 40.9	TITLE I SEC. 102.(a)(4)	ENVIRONMENTAL JUSTICE COMMUNITY.— The term ‘‘environmental justice community’’ means—	environmental, justice, community, term
232	40.10 - 40.10	TITLE I SEC. 102.(a)(4)(A)	a community of color;	community
233	40.11 - 40.11	TITLE I SEC. 102.(a)(4)(B)	a low-income community; and	income, community
234	40.12 - 40.12	TITLE I SEC. 102.(a)(4)(C)	a Tribal or indigenous community.	tribal, indigenous, community
235	40.13 - 40.16	TITLE I SEC. 102.(a)(5)	INDIAN TRIBE.—The term ‘‘Indian Tribe’’ has the meaning given the term in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304).	indian, tribe, term, meaning, determination, education, assistance, act, u.s.c
236	40.17 - 40.19	TITLE I SEC. 102.(a)(6)	LOW-INCOME COMMUNITY.—The term ‘‘lowincome community’’ means a census tract in which—	income, community, term, lowincome, census, tract
237	40.20 - 40.21	TITLE I SEC. 102.(a)(6)(A)	the poverty rate is at least 20 percent; or	poverty, rate
238	40.22 - 40.23	TITLE I SEC. 102.(a)(6)(B)	the median family income does not exceed—	median, family, income, exceed
239	41.1 - 41.3	TITLE I SEC. 102.(a)(6)(B)(i)	if the census tract is not located within a metropolitan area, 80 percent of the statewide median income; or	census, tract, located, metropolitan, area, statewide, median, income
240	41.4 - 41.6	TITLE I SEC. 102.(a)(6)(B)(ii)	if the census tract is located within a metropolitan area, 80 percent of the greater of—	census, tract, located, metropolitan, area, greater
241	41.7 - 41.8	TITLE I SEC. 102.(a)(6)(B)(ii)(I)	the statewide median income; and	statewide, median, income
242	41.9 - 41.10	TITLE I SEC. 102.(a)(6)(B)(ii)(II)	the median income of the metropolitan area.	median, income, metropolitan, area
243	41.11 - 41.13	TITLE I SEC. 102.(a)(7)	MAJOR SOURCE.—The term ‘‘major source’’ has the meaning given the term in section 501 of the Clean Air Act (42 U.S.C. 7661).	major, source, term, meaning, clean, air, act, u.s.c
244	41.14 - 41.15	TITLE I SEC. 102.(a)(8)	NATIVE AMERICAN.—The term ‘‘Native American’’ means—	native, american, term
245	41.16 - 41.18	TITLE I SEC. 102.(a)(8)(A)	an Indian (as defined in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304));	indian, defined, determination, education, assistance, act, u.s.c
246	41.19 - 41.21	TITLE I SEC. 102.(a)(8)(B)	a native Hawaiian (as defined in section 201(a) of the Hawaiian Homes Commission Act, 1920 (42 Stat. 108, chapter 42));	native, hawaiian, defined, homes, commission, act, stat, chapter
247	41.22 - 41.24	TITLE I SEC. 102.(a)(8)(C)	a Native (as defined in section 3 of the Alaska Native Claims Settlement Act (43 U.S.C. 1602)); and	native, defined, alaska, claims, settlement, act, u.s.c
248	42.1 - 42.3	TITLE I SEC. 102.(a)(8)(D)	a Native American Pacific Islander (as defined in section 815 of the Native American Programs Act of 1974 (42 U.S.C. 2992c)).	native, american, pacific, islander, defined, programs, act, u.s.c, 2992c
249	42.4 - 42.5	TITLE I SEC. 102.(a)(9)	SECRETARY.—The term ‘‘Secretary’’ means the Secretary of the Treasury.	secretary, term, treasury
250	42.6 - 42.8	TITLE I SEC. 102.(a)(10)	TRIBAL OR INDIGENOUS COMMUNITY.— The term ‘‘Tribal or indigenous community’’ refers to a population of individuals who are members of—	tribal, indigenous, community, term, refers, population, individuals, members
251	42.9 - 42.9	TITLE I SEC. 102.(a)(10)(A)	an Indian Tribe;	indian, tribe
252	42.10 - 42.11	TITLE I SEC. 102.(a)(10)(B)	an Alaska Native or Native Hawaiian community or organization; or	alaska, native, hawaiian, community, organization
253	42.12 - 42.13	TITLE I SEC. 102.(a)(10)(C)	any other community of indigenous people located in a State.	community, indigenous, located, state
254	42.14 - 42.20	TITLE I SEC. 102.(b)	MONITORING REQUIREMENT.—Beginning on January 1, 2023, the owner or operator of each major source shall ensure that the major source has continuous emission monitoring systems installed that are capable of volumetric monitoring of all emissions of criteria air pollutants from smoke stacks and exhaust outlets of the major source.	monitoring, requirement, beginning, january, owner, operator, major, source, ensure, continuous, emission, systems, installed, capable, volumetric, emissions, criteria, air, pollutants, smoke, stacks, exhaust, outlets
255	42.21 - 42.21	TITLE I SEC. 102.(c)	REPORTING REQUIREMENT.—	reporting, requirement
256	42.22 - 42.22	TITLE I SEC. 102.(c)(1)	MAJOR SOURCES.—	major, sources
257	42.23 - 43.4	TITLE I SEC. 102.(c)(1)(A)	IN GENERAL.—The owner or operator of each major source shall submit to the Administrator on a monthly basis all data collected by the continuous emission monitoring system for that major source required under subsection (b) with respect to each criteria air pollutant.	general, owner, operator, major, source, submit, administrator, monthly, basis, data, collected, continuous, emission, monitoring, system, required, subsection, respect, criteria, air, pollutant
258	43.5 - 43.8	TITLE I SEC. 102.(c)(1)(B)	CERTIFICATION.—When submitting data under subparagraph (A), the owner or operator shall certify to the Administrator that the data being submitted are correct.	certification, submitting, data, subparagraph, owner, operator, certify, administrator, submitted, correct
259	43.9 - 43.9	TITLE I SEC. 102.(c)(1)(C)	CIVIL PENALTY.—	civil, penalty
260	43.10 - 43.17	TITLE I SEC. 102.(c)(1)(C)(i)	FAILURE TO REPORT.—An owner or operator that is required to submit data under subparagraph (A) for a month that fails to do so by the 5th day of the month after the month for which data are required to be submitted shall be assessed a fine of $20,000 for each day until the required data are submitted.	failure, report, owner, operator, required, submit, data, subparagraph, month, fails, 5th, submitted, assessed, fine, 20,000
261	43.18 - 43.23	TITLE I SEC. 102.(c)(1)(C)(ii)	FALSE DATA.—An owner or operator that is required to submit data under subparagraph (A) for a month that knowingly submits to the Administrator false data shall be assessed a fine of $10,000,000.	false, data, owner, operator, required, submit, subparagraph, month, knowingly, submits, administrator, assessed, fine, 10,000,000
262	43.24 - 44.3	TITLE I SEC. 102.(c)(2)	PUBLIC AVAILABILITY.—Not later than 30 days after the date on which the Administrator receives data submitted under paragraph (1), the Administrator shall make the data publicly available on a website of the Administrator.	public, availability, administrator, receives, data, submitted, paragraph, publicly, available, website
263	44.4 - 44.5	TITLE I SEC. 102.(c)(3)	TRANSFER OF DATA.—The Administrator shall transfer the data submitted under paragraph (1) to the Secretary for the purpose of carrying out subsection (d).	transfer, data, administrator, submitted, paragraph
265	44.8 - 44.8	TITLE I SEC. 102.(d)	ANNUAL EMISSIONS FEE.—	annual, emissions, fee
266	44.9 - 44.14	TITLE I SEC. 102.(d)(1)	IN GENERAL.—Beginning in calendar year 2024, the Secretary shall assess from the owner or operator of each major source within an environmental justice community or within 1 mile of an environmental justice community an annual emissions fee.	general, beginning, calendar, secretary, assess, owner, operator, major, source, environmental, justice, community, mile, annual, emissions, fee
267	44.15 - 44.18	TITLE I SEC. 102.(d)(2)	FEE AMOUNT.—Subject to paragraph (3), the annual emissions fee for a major source under paragraph (1) shall be in an amount equal to the sum of—	fee, amount, subject, paragraph, annual, emissions, major, source, equal, sum
268	44.19 - 44.19	TITLE I SEC. 102.(d)(2)(A)	the amount obtained by multiplying—	amount, obtained, multiplying
269	44.20 - 44.24	TITLE I SEC. 102.(d)(2)(A)(i)	the quantity, in pounds, of oxides of nitrogen emitted by the major source during the previous calendar year, as determined using the data submitted to the Administrator under subsection (c); and	quantity, pounds, oxides, nitrogen, emitted, major, source, calendar, determined, data, submitted, administrator, subsection
270	44.25 - 44.25	TITLE I SEC. 102.(d)(2)(A)(ii)	$6.30;	
271	45.1 - 45.1	TITLE I SEC. 102.(d)(2)(B)	the amount obtained by multiplying—	amount, obtained, multiplying
272	45.2 - 45.6	TITLE I SEC. 102.(d)(2)(B)(i)	the quantity, in pounds, of PM2.5 emitted by the major source during the previous calendar year, as determined using the data submitted to the Administrator under subsection (c); and	quantity, pounds, pm2.5, emitted, major, source, calendar, determined, data, submitted, administrator, subsection
273	45.7 - 45.7	TITLE I SEC. 102.(d)(2)(B)(ii)	$38.90; and	
274	45.8 - 45.8	TITLE I SEC. 102.(d)(2)(C)	the amount obtained by multiplying—	amount, obtained, multiplying
275	45.9 - 45.13	TITLE I SEC. 102.(d)(2)(C)(i)	the quantity, in pounds, of sulfur dioxide emitted by the major source during the previous calendar year, as determined using the data submitted to the Administrator under subsection (c); and	quantity, pounds, sulfur, dioxide, emitted, major, source, calendar, determined, data, submitted, administrator, subsection
276	45.14 - 45.14	TITLE I SEC. 102.(d)(2)(C)(ii)	$18.00.	
