Item	Page_Lines	Para	Text
830	152.1 - 152.10	[SEC. 11102.(a)] SEC. 1860D–14B.(b)(5)(B)(ii)	LINE EXTENSION DEFINED. In this subparagraph, the term ‘line extension’ means, with respect to a part D rebatable drug, a new formulation of the drug, such as an extended release formulation, but does not include an abuse-deterrent formulation of the drug (as determined by the Secretary), regardless of whether such abuse-deterrent formulation is an extended release formulation.
831	152.11 - 153.7	[SEC. 11102.(a)] SEC. 1860D–14B.(b)(5)(C)	SELECTED DRUGS. In the case of a part D rebatable drug that is a selected drug (as defined in section 1192(c)) with respect to a price applicability period (as defined in section 1191(b)(2)), in the case such drug is no longer considered to be a selected drug under section 1192(c), for each applicable period (as defined under subsection (g)(7)) beginning after the price applicability period with respect to such drug, subparagraphs (A) and (B) of paragraph (4) shall be applied as if the term ‘payment amount benchmark period’ were defined under subsection (g)(3) as the last year beginning during such price applicability period with respect to such selected drug and subparagraph (B) of paragraph (3) shall be applied as if the term ‘benchmark period CPI–U’ were defined under subsection (g)(4) as if the reference to ‘January 2021’ under such subsection were a reference to ‘January of the last year beginning during such price applicability period with respect to such drug’.
833	153.8 - 153.24	[SEC. 11102.(a)] SEC. 1860D–14B.(b)(6)	RECONCILIATION IN CASE OF REVISED INFORMATION. The Secretary shall provide for a method and process under which, in the case where a PDP sponsor of a prescription drug plan or an MA organization offering an MA–PD plan submits revisions to the number of units of a rebatable covered part D drug dispensed, the Secretary determines, pursuant to such revisions, adjustments, if any, to the calculation of the amount specified in this subsection for a dosage form and strength with respect to such part D rebatable drug and an applicable period and reconciles any overpayments or underpayments in amounts paid as rebates under this subsection. Any identified underpayment shall be rectified by the manufacturer not later than 30 days after the date of receipt from the Secretary of information on such underpayment.
834	154.1 - 154.5	[SEC. 11102.(a)] SEC. 1860D–14B.(c)	REBATE DEPOSITS. Amounts paid as rebates under subsection (b) shall be deposited into the Medicare Prescription Drug Account in the Federal Supplementary Medical Insurance Trust Fund established under section 1841.
835	154.6 - 154.7	[SEC. 11102.(a)] SEC. 1860D–14B.(d)	INFORMATION. For purposes of carrying out this section, the Secretary shall use information submitted by
836	154.8 - 154.8	[SEC. 11102.(a)] SEC. 1860D–14B.(d)(1)	manufacturers under section 1927(b)(3);
837	154.9 - 154.9	[SEC. 11102.(a)] SEC. 1860D–14B.(d)(2)	States under section 1927(b)(2)(A); and
838	154.10 - 154.12	[SEC. 11102.(a)] SEC. 1860D–14B.(d)(3)	PDP sponsors of prescription drug plans and MA organization offering MA–PD plans under this part.
839	154.13 - 154.24	[SEC. 11102.(a)] SEC. 1860D–14B.(e)	CIVIL MONEY PENALTY. If a manufacturer of a part D rebatable drug has failed to comply with the requirement under subsection (a)(2) with respect to such drug for an applicable period, the manufacturer shall be subject to a civil money penalty in an amount equal to 125 percent of the amount specified in subsection (b) for such drug for such period. The provisions of section 1128A (other than subsections (a) (with respect to amounts of penalties or additional assessments) and (b)) shall apply to a civil money penalty under this subsection in the same manner as such provisions apply to a penalty or proceeding under section 1128A(a).
840	155.1 - 155.3	[SEC. 11102.(a)] SEC. 1860D–14B.(f)	LIMITATION ON ADMINISTRATIVE OR JUDICIAL REVIEW. There shall be no administrative or judicial review of any of the following:
841	155.4 - 155.5	[SEC. 11102.(a)] SEC. 1860D–14B.(f)(1)	The determination of units under this section.
842	155.6 - 155.7	[SEC. 11102.(a)] SEC. 1860D–14B.(f)(2)	The determination of whether a drug is a part D rebatable drug under this section.
843	155.8 - 155.9	[SEC. 11102.(a)] SEC. 1860D–14B.(f)(3)	The calculation of the rebate amount under this section.
844	155.10 - 155.10	[SEC. 11102.(a)] SEC. 1860D–14B.(g)	DEFINITIONS. In this section:
845	155.11 - 155.11	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)	PART D REBATABLE DRUG.
846	155.12 - 155.17	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(A)	IN GENERAL. Except as provided in subparagraph (B), the term ‘part D rebatable drug’ means, with respect to an applicable period, a drug or biological described in subparagraph (C) that is a covered part D drug (as such term is defined under section 1860D–2(e)).
847	155.18 - 155.18	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(B)	EXCLUSION.
848	155.19 - 156.3	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(B)(i)	IN GENERAL. Such term shall, with respect to an applicable period, not include a drug or biological if the average annual total cost under this part for such period per individual who uses such a drug or biological, as determined by the Secretary, is less than, subject to clause (ii), $100, as determined by the Secretary using the most recent data available or, if data is not available, as estimated by the Secretary.
849	156.4 - 156.5	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(B)(ii)	INCREASE. The dollar amount applied under clause (i)
850	156.6 - 156.15	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(B)(ii)(I)	for the applicable period beginning October 1, 2023, shall be the dollar amount specified under such clause for the applicable period beginning October 1, 2022, increased by the percentage increase in the consumer price index for all urban consumers (United States city average) for the 12month period beginning with October of 2023; and
851	156.16 - 157.3	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(B)(ii)(II)	for a subsequent applicable period, shall be the dollar amount specified in this clause for the previous applicable period, increased by the percentage increase in the consumer price index for all urban consumers (United States city average) for the 12-month period beginning with October of the previous period. Any dollar amount specified under this clause that is not a multiple of $10 shall be rounded to the nearest multiple of $10.
852	157.4 - 157.7	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(C)	DRUG OR BIOLOGICAL DESCRIBED. A drug or biological described in this subparagraph is a drug or biological that, as of the first day of the applicable period involved, is
853	157.8 - 157.10	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(C)(i)	a drug approved under a new drug application under section 505(c) of the Federal Food, Drug, and Cosmetic Act;
854	157.11 - 157.14	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(C)(ii)	a drug approved under an abbreviated new drug application under section 505(j) of the Federal Food, Drug, and Cosmetic Act, in the case where
855	157.15 - 157.24	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(C)(ii)(I)	the reference listed drug approved under section 505(c) of the Federal Food, Drug, and Cosmetic Act, including any ‘authorized generic drug’ (as that term is defined in section 505(t)(3) of the Federal Food, Drug, and Cosmetic Act), is not being marketed, as identified in the Food and Drug Administration’s National Drug Code Directory;
856	158.1 - 158.11	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(C)(ii)(II)	there is no other drug approved under section 505(j) of the Federal Food, Drug, and Cosmetic Act that is rated as therapeutically equivalent (under the Food and Drug Administration’s most recent publication of ‘Approved Drug Products with Therapeutic Equivalence Evaluations’) and that is being marketed, as identified in the Food and Drug Administration’s National Drug Code Directory;
857	158.12 - 158.17	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(C)(ii)(III)	the manufacturer is not a ‘first applicant’ during the ‘180-day exclusivity period’, as those terms are defined in section 505(j)(5)(B)(iv) of the Federal Food, Drug, and Cosmetic Act; and
858	158.18 - 158.23	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(C)(ii)(IV)	the manufacturer is not a ‘first approved applicant’ for a competitive generic therapy, as that term is defined in section 505(j)(5)(B)(v) of the Federal Food, Drug, and Cosmetic Act; or
859	158.24 - 158.25	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(1)(C)(iii)	a biological licensed under section 351 of the Public Health Service Act.
860	159.1 - 159.5	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(2)	UNIT. The term ‘unit’ means, with respect to a part D rebatable drug, the lowest dispensable amount (such as a capsule or tablet, milligram of molecules, or grams) of the part D rebatable drug, as reported under section 1927.
861	159.6 - 159.9	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(3)	PAYMENT AMOUNT BENCHMARK PERIOD. The term ‘payment amount benchmark period’ means the period beginning January 1, 2021, and ending in the month immediately prior to October 1, 2021.
862	159.10 - 159.13	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(4)	BENCHMARK PERIOD CPI–U. The term ‘benchmark period CPI–U’ means the consumer price index for all urban consumers (United States city average) for January 2021.
863	159.14 - 159.18	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(5)	APPLICABLE PERIOD CPI–U. The term ‘applicable period CPI–U’ means, with respect to an applicable period, the consumer price index for all urban consumers (United States city average) for the first month of such applicable period.
864	159.19 - 159.24	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(6)	AVERAGE MANUFACTURER PRICE. The term ‘average manufacturer price’ has the meaning, with respect to a part D rebatable drug of a manufacturer, given such term in section 1927(k)(1), with respect to a covered outpatient drug of a manufacturer for a rebate period under section 1927.
865	160.1 - 160.3	[SEC. 11102.(a)] SEC. 1860D–14B.(g)(7)	APPLICABLE PERIOD. The term ‘applicable period’ means a 12-month period beginning with October 1 of a year (beginning with October 1, 2022).
866	160.4 - 160.7	[SEC. 11102.(a)] SEC. 1860D–14B.(h)	IMPLEMENTATION FOR 2022, 2023, AND 2024. The Secretary shall implement this section for 2022, 2023, and 2024 by program instruction or other forms of program guidance.’’.
867	160.8 - 160.8	SEC. 11102.(b)	CONFORMING AMENDMENTS.
868	160.9 - 160.14	SEC. 11102.(b)(1)	TO PART B ASP CALCULATION. Section 1847A(c)(3) of the Social Security Act (42 U.S.C. 1395w–3a(c)(3)), as amended by section 11101(c)(1), is amended by striking ‘‘subsection (i) or section 1927’’ and inserting ‘‘subsection (i), section 1927, or section 1860D–14B’’.
869	160.15 - 160.21	SEC. 11102.(b)(2)	EXCLUDING PART D DRUG INFLATION REBATE FROM BEST PRICE. Section 1927(c)(1)(C)(ii)(I) of the Social Security Act (42 U.S.C. 1396r–8(c)(1)(C)(ii)(I)), as amended by section 11101(c)(2), is amended by striking ‘‘or section 1847A(i)’’ and inserting ‘‘, section 1847A(i), or section 1860D–14B’’.
870	160.22 - 161.5	SEC. 11102.(b)(3)	COORDINATION WITH MEDICAID REBATE INFORMATION DISCLOSURE. Section 1927(b)(3)(D)(i) of the Social Security Act (42 U.S.C. 1396r– 8(b)(3)(D)(i)), as amended by sections 11002(b) and 11101(c)(3), is amended by striking ‘‘or section 1192(f), including rebates under paragraph (4) of such section’’ and inserting ‘‘, section 1192(f), including rebates under paragraph (4) of such section, or section 1860D–14B’’.
871	161.6 - 161.11	SEC. 11102.(b)(4)	EXCLUDING PART D DRUG INFLATION REBATES FROM AVERAGE MANUFACTURER PRICE. Section 1927(k)(1)(B)(i) of the Social Security Act (42 U.S.C. 1396r–8(k)(1)(B)(i)), as amended by section 11001(b)(3) and section 11101(c)(4), is amended by adding at the end the following new subclause:
872	161.12 - 161.13	SEC. 11102.(b)(4)(A)	in subclause (VI), by striking ‘‘and’’ at the end;
873	161.14 - 161.15	SEC. 11102.(b)(4)(B)	in subclause (VII), by striking the period at the end and inserting a semicolon; and
874	161.16 - 161.17	SEC. 11102.(b)(4)(C)	by adding at the end the following new subclause:
875	161.18 - 161.19	[SEC. 11102.(b)(4)(C)] (VIII)	rebates paid by manufacturers under section 1860D–14B.’’.
876	161.20 - 162.4	SEC. 11102.(c)	FUNDING. In addition to amounts otherwise available, there are appropriated to the Centers for Medicare & Medicaid Services, out of any money in the Treasury not otherwise appropriated, $80,000,000 for fiscal year 2022, including $12,500,000 to carry out the provisions of, including the amendments made by, this section in fiscal year 2022, and $7,500,000 to carry out the provisions of, including the amendments made by, this section in each of fiscal years 2023 through 2031, to remain available until expended.
877	162.5 - 162.7	TITLE I Subtitle B PART 3	PART D IMPROVEMENTS AND MAXIMUM OUT-OF-POCKET CAP FOR MEDICARE BENEFICIARIES
878	162.8 - 162.8	TITLE I Subtitle B PART 3 SEC. 11201.	MEDICARE PART D BENEFIT REDESIGN.
879	162.9 - 162.11	SEC. 11201.(a)	BENEFIT STRUCTURE REDESIGN. Section 1860D–2(b) of the Social Security Act (42 U.S.C. 1395w– 102(b)) is amended
880	162.12 - 162.12	SEC. 11201.(a)(1)	in paragraph (2)
881	162.13 - 162.19	SEC. 11201.(a)(1)(A)	in subparagraph (A), in the matter preceding clause (i), by inserting ‘‘for a year preceding 2025 and for costs above the annual deductible specified in paragraph (1) and up to the annual out-of-pocket threshold specified in paragraph (4)(B) for 2025 and each subsequent year’’ after ‘‘paragraph (3)’’;
882	162.20 - 162.20	SEC. 11201.(a)(1)(B)	in subparagraph (C)
883	162.21 - 162.24	SEC. 11201.(a)(1)(B)(i)	in clause (i), in the matter preceding subclause (I), by inserting ‘‘for a year preceding 2025,’’ after ‘‘paragraph (4),’’; and
885	163.1 - 163.3	SEC. 11201.(a)(1)(B)(ii)	in clause (ii)(III), by striking ‘‘and each subsequent year’’ and inserting ‘‘through 2024’’; and
886	163.4 - 163.4	SEC. 11201.(a)(1)(C)	in subparagraph (D)
887	163.5 - 163.5	SEC. 11201.(a)(1)(C)(i)	in clause (i)
888	163.6 - 163.9	SEC. 11201.(a)(1)(C)(i)(I)	in the matter preceding subclause (I), by inserting ‘‘for a year preceding 2025,’’ after ‘‘paragraph (4),’’; and
889	163.10 - 163.13	SEC. 11201.(a)(1)(C)(i)(II)	in subclause (I)(bb), by striking ‘‘a year after 2018’’ and inserting ‘‘each of years 2019 through 2024’’; and
890	163.14 - 163.16	SEC. 11201.(a)(1)(C)(ii)	in clause (ii)(V), by striking ‘‘2019 and each subsequent year’’ and inserting ‘‘each of years 2019 through 2024’’;
891	163.17 - 163.17	SEC. 11201.(a)(2)	in paragraph (3)(A)
892	163.18 - 163.20	SEC. 11201.(a)(2)(A)	in the matter preceding clause (i), by inserting ‘‘for a year preceding 2025,’’ after ‘‘and (4),’’; and
893	163.21 - 163.23	SEC. 11201.(a)(2)(B)	in clause (ii), by striking ‘‘for a subsequent year’’ and inserting ‘‘for each of years 2007 through 2024’’; and
894	163.24 - 163.24	SEC. 11201.(a)(3)	in paragraph (4)
895	163.25 - 163.25	SEC. 11201.(a)(3)(A)	in subparagraph (A)
896	164.1 - 164.1	SEC. 11201.(a)(3)(A)(i)	in clause (i)
897	164.2 - 164.6	SEC. 11201.(a)(3)(A)(i)(I)	by redesignating subclauses (I) and (II) as items (aa) and (bb), respectively, and moving the margin of each such redesignated item 2 ems to the right;
898	164.7 - 164.12	SEC. 11201.(a)(3)(A)(i)(II)	in the matter preceding item (aa), as redesignated by subclause (I), by striking ‘‘is equal to the greater of ’’ and inserting ‘‘is equal to (I)  for a year preceding 2024, the greater of ’’;
901	164.13 - 164.16	SEC. 11201.(a)(3)(A)(i)(III)	by striking the period at the end of item (bb), as redesignated by subclause (I), and inserting ‘‘; and’’; and
902	164.17 - 164.18	SEC. 11201.(a)(3)(A)(i)(IV)	by adding at the end the following:
903	164.19 - 164.20	[SEC. 11201.(a)(3)(A)(i)(IV)] (II)	for 2024 and each succeeding year, $0.’’; and
904	164.21 - 164.21	SEC. 11201.(a)(3)(A)(ii)	in clause (ii)
905	164.22 - 164.23	SEC. 11201.(a)(3)(A)(ii)(I)	by striking ‘‘clause (i)(I)’’ and inserting ‘‘clause (i)(I)(aa)’’; and
906	164.24 - 165.5	SEC. 11201.(a)(3)(A)(ii)(II)	by adding at the end the following new sentence: ‘‘The Secretary shall continue to calculate the dollar amounts specified in clause (i)(I)(aa), including with the adjustment under this clause, after 2023 for purposes of section 1860D–14(a)(1)(D)(iii).’’;
907	165.6 - 165.6	SEC. 11201.(a)(3)(B)	in subparagraph (B)
908	165.7 - 165.7	SEC. 11201.(a)(3)(B)(i)	in clause (i)
909	165.8 - 165.9	SEC. 11201.(a)(3)(B)(i)(I)	in subclause (V), by striking ‘‘or’’ at the end;
910	165.10 - 165.10	SEC. 11201.(a)(3)(B)(i)(II)	in subclause (VI)
911	165.11 - 165.14	SEC. 11201.(a)(3)(B)(i)(II)(aa)	by striking ‘‘for a subsequent year’’ and inserting ‘‘for each of years 2021 through 2024’’; and
912	165.15 - 165.17	SEC. 11201.(a)(3)(B)(i)(II)(bb)	by striking the period at the end and inserting a semicolon; and
913	165.18 - 165.19	SEC. 11201.(a)(3)(B)(i)(III)	by adding at the end the following new subclauses:
914	165.20 - 165.21	[SEC. 11201.(a)(3)(B)(i)(III)] (VII)	for 2025, is equal to $2,000; or
915	165.22 - 166.2	[SEC. 11201.(a)(3)(B)(i)(III)] (VIII)	for a subsequent year, is equal to the amount specified in this subparagraph for the previous year, increased by the annual percentage increase described in paragraph (6) for the year involved.’’; and
916	166.3 - 166.4	SEC. 11201.(a)(3)(B)(ii)	in clause (ii), by striking ‘‘clause (i)(II)’’ and inserting ‘‘clause (i)’’;
918	166.5 - 166.5	SEC. 11201.(a)(3)(C)	in subparagraph (C)
919	166.6 - 166.8	SEC. 11201.(a)(3)(C)(i)	in clause (i), by striking ‘‘and for amounts’’ and inserting ‘‘and, for a year preceding 2025, for amounts’’; and
920	166.9 - 166.9	SEC. 11201.(a)(3)(C)(ii)	in clause (iii)
921	166.10 - 166.12	SEC. 11201.(a)(3)(C)(ii)(I)	by redesignating subclauses (I) through (IV) as items (aa) through (dd)  and indenting appropriately;
923	166.13 - 166.16	SEC. 11201.(a)(3)(C)(ii)(II)	by striking ‘‘if such costs are borne or paid’’ and inserting ‘‘if such costs (I)  are borne or paid ’’; and
925	166.17 - 166.19	SEC. 11201.(a)(3)(C)(ii)(III)	in item (dd), by striking the period at the end and inserting ‘‘; or’’; and
926	166.20 - 166.21	SEC. 11201.(a)(3)(C)(ii)(IV)	by adding at the end the following new subclause:
927	166.22 - 167.8	[SEC. 11201.(a)(3)(C)(ii)(IV)] (II)	for 2025 and subsequent years, are reimbursed through insurance, a group health plan, or certain other third party payment arrangements, but not including the coverage provided by a prescription drug plan or an MA–PD plan that is basic prescription drug coverage (as defined in subsection (a)(3)) or any payments by a manufacturer under the manufacturer discount program under section 1860D–14C.’’; and
928	167.9 - 167.11	SEC. 11201.(a)(3)(D)	in subparagraph (E), by striking ‘‘In applying’’ and inserting ‘‘For each of years 2011 through 2024, in applying’’.
929	167.12 - 167.14	SEC. 11201.(b)	REINSURANCE PAYMENT AMOUNT. Section 1860D–15(b) of the Social Security Act (42 U.S.C. 1395w– 115(b)) is amended
930	167.15 - 167.15	SEC. 11201.(b)(1)	in paragraph (1)
931	167.16 - 167.17	SEC. 11201.(b)(1)(A)	by striking ‘‘equal to 80 percent’’ and inserting ‘‘equal to
932	167.18 - 167.19	[SEC. 11201.(b)(1)(A)] (A)	for a year preceding 2025, 80 percent’’;
933	167.20 - 167.22	SEC. 11201.(b)(1)(B)	in subparagraph (A), as added by subparagraph (A), by striking the period at the end and inserting ‘‘; and’’; and
934	167.23 - 167.24	SEC. 11201.(b)(1)(C)	by adding at the end the following new subparagraph:
935	168.1 - 168.2	[SEC. 11201.(b)(1)(C)] (B)	for 2025 and each subsequent year, the sum of
936	168.3 - 168.12	[SEC. 11201.(b)(1)(C)] (B)(i)	with respect to applicable drugs (as defined in section 1860D–14C(g)(2)), an amount equal to 20 percent of such allowable reinsurance costs attributable to that portion of gross covered prescription drug costs as specified in paragraph (3) incurred in the coverage year after such individual has incurred costs that exceed the annual out-of-pocket threshold specified in section 1860D–2(b)(4)(B); and
937	168.13 - 168.22	[SEC. 11201.(b)(1)(C)] (B)(ii)	with respect to covered part D drugs that are not applicable drugs (as so defined), an amount equal to 40 percent of such allowable reinsurance costs attributable to that portion of gross covered prescription drug costs as specified in paragraph (3) incurred in the coverage year after such individual has incurred costs that exceed the annual out-of-pocket threshold specified in section 1860D–2(b)(4)(B).’’;
938	168.23 - 168.23	SEC. 11201.(b)(2)	in paragraph (2)
939	168.24 - 168.25	SEC. 11201.(b)(2)(A)	by striking ‘‘COSTS. For purposes’’ and inserting ‘‘COSTS.
940	169.1 - 169.2	[SEC. 11201.(b)(2)(A)] (A)	IN GENERAL. Subject to subparagraph (B), for purposes’’; and
941	169.3 - 169.4	SEC. 11201.(b)(2)(B)	by adding at the end the following new subparagraph:
942	169.5 - 169.13	[SEC. 11201.(b)(2)(B)] (B)	INCLUSION OF MANUFACTURER DISCOUNTS ON APPLICABLE DRUGS. For purposes of applying subparagraph (A), the term ‘allowable reinsurance costs’ shall include the portion of the negotiated price (as defined in section 1860D–14C(g)(6)) of an applicable drug (as defined in section 1860D–14C(g)(2)) that was paid by a manufacturer under the manufacturer discount program under section 1860D–14C.’’; and
943	169.14 - 169.14	SEC. 11201.(b)(3)	in paragraph (3)
944	169.15 - 169.17	SEC. 11201.(b)(3)(A)	in the first sentence, by striking ‘‘For purposes’’ and inserting ‘‘Subject to paragraph (2)(B), for purposes’’; and
946	169.18 - 169.22	SEC. 11201.(b)(3)(B)	in the second sentence, by inserting ‘‘(or, with respect to 2025 and subsequent years, in the case of an applicable drug, as defined in section 1860D–14C(g)(2), by a manufacturer)’’ after ‘‘by the individual or under the plan’’.
947	169.23 - 169.23	SEC. 11201.(c)	MANUFACTURER DISCOUNT PROGRAM.
948	169.24 - 170.3	SEC. 11201.(c)(1)	IN GENERAL. Part D of title XVIII of the Social Security Act (42 U.S.C. 1395w–101 through 42 U.S.C. 1395w–153), as amended by section 11102, is amended by inserting after section 1860D–14B the following new sections:
949	170.4 - 170.4	[SEC. 11201.(c)(1)] SEC. 1860D–14C.	MANUFACTURER DISCOUNT PROGRAM.
950	170.5 - 170.10	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(a)	ESTABLISHMENT. The Secretary shall establish a manufacturer discount program (in this section referred to as the ‘program’). Under the program, the Secretary shall enter into agreements described in subsection (b) with manufacturers and provide for the performance of the duties described in subsection (c).
951	170.11 - 170.11	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)	TERMS OF AGREEMENT.
952	170.12 - 170.12	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(1)	IN GENERAL.
953	170.13 - 170.18	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(1)(A)	AGREEMENT. An agreement under this section shall require the manufacturer to provide, in accordance with this section, discounted prices for applicable drugs of the manufacturer that are dispensed to applicable beneficiaries on or after January 1, 2025.
954	170.19 - 170.20	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(1)(B)	CLARIFICATION. Nothing in this section shall be construed as affecting
955	170.21 - 170.25	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(1)(B)(i)	the application of a coinsurance of 25 percent of the negotiated price, as applied under paragraph (2)(A) of section 1860D–2(b), for costs described in such paragraph; or
956	171.1 - 171.4	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(1)(B)(ii)	the application of the copayment amount described in paragraph (4)(A) of such section, with respect to costs described in such paragraph.
957	171.5 - 171.5	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(1)(C)	TIMING OF AGREEMENT.
958	171.6 - 171.12	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(1)(C)(i)	SPECIAL RULE FOR 2025. In order for an agreement with a manufacturer to be in effect under this section with respect to the period beginning on January 1, 2025, and ending on December 31, 2025, the manufacturer shall enter into such agreement not later than March 1, 2024.
959	171.13 - 171.20	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(1)(C)(ii)	2026 AND SUBSEQUENT YEARS. In order for an agreement with a manufacturer to be in effect under this section with respect to plan year 2026 or a subsequent plan year, the manufacturer shall enter into such agreement not later than a calendar quarter or semi-annual deadline established by the Secretary.
960	171.21 - 172.2	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(2)	PROVISION OF APPROPRIATE DATA. Each manufacturer with an agreement in effect under this section shall collect and have available appropriate data, as determined by the Secretary, to ensure that it can demonstrate to the Secretary compliance with the requirements under the program.
961	172.3 - 172.10	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(3)	COMPLIANCE WITH REQUIREMENTS FOR ADMINISTRATION OF PROGRAM. Each manufacturer with an agreement in effect under this section shall comply with requirements imposed by the Secretary, as applicable, for purposes of administering the program, including any determination under subparagraph (A) of subsection (c)(1) or procedures established under such subsection (c)(1).
962	172.11 - 172.11	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(4)	LENGTH OF AGREEMENT.
963	172.12 - 172.17	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(4)(A)	IN GENERAL. An agreement under this section shall be effective for an initial period of not less than 12 months and shall be automatically renewed for a period of not less than 1 year unless terminated under subparagraph (B).
965	172.18 - 172.18	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(4)(B)	TERMINATION.
966	172.19 - 173.8	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(4)(B)(i)	BY THE SECRETARY. The Secretary shall provide for termination of an agreement under this section for a knowing and willful violation of the requirements of the agreement or other good cause shown. Such termination shall not be effective earlier than 30 days after the date of notice to the manufacturer of such termination. The Secretary shall provide, upon request, a manufacturer with a hearing concerning such a termination, and such hearing shall take place prior to the effective date of the termination with sufficient time for such effective date to be repealed if the Secretary determines appropriate.
967	173.9 - 173.13	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(4)(B)(ii)	BY A MANUFACTURER. A manufacturer may terminate an agreement under this section for any reason. Any such termination shall be effective, with respect to a plan year
968	173.14 - 173.17	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(4)(B)(ii)(I)	if the termination occurs before January 31 of a plan year, as of the day after the end of the plan year; and
969	173.18 - 173.21	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(4)(B)(ii)(II)	if the termination occurs on or after January 31 of a plan year, as of the day after the end of the succeeding plan year.
970	173.22 - 174.2	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(4)(B)(iii)	EFFECTIVENESS OF TERMINATION. Any termination under this subparagraph shall not affect discounts for applicable drugs of the manufacturer that are due under the agreement before the effective date of its termination.
971	174.3 - 174.6	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(b)(5)	EFFECTIVE DATE OF AGREEMENT. An agreement under this section shall take effect at the start of a calendar quarter or another date specified by the Secretary.
972	174.7 - 174.8	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)	DUTIES DESCRIBED. The duties described in this subsection are the following:
973	174.9 - 174.10	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)(1)	ADMINISTRATION OF PROGRAM. Administering the program, including
974	174.11 - 174.13	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)(1)(A)	the determination of the amount of the discounted price of an applicable drug of a manufacturer;
975	174.14 - 174.20	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)(1)(B)	the establishment of procedures to ensure that, not later than the applicable number of calendar days after the dispensing of an applicable drug by a pharmacy or mail order service, the pharmacy or mail order service is reimbursed for an amount equal to the difference between
976	174.21 - 174.22	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)(1)(B)(i)	the negotiated price of the applicable drug; and
977	174.23 - 174.24	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)(1)(B)(ii)	the discounted price of the applicable drug;
978	175.1 - 175.9	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)(1)(C)	the establishment of procedures to ensure that the discounted price for an applicable drug under this section is applied before any coverage or financial assistance under other health benefit plans or programs that provide coverage or financial assistance for the purchase or provision of prescription drug coverage on behalf of applicable beneficiaries as specified by the Secretary; and
979	175.10 - 175.13	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)(1)(D)	providing a reasonable dispute resolution mechanism to resolve disagreements between manufacturers, prescription drug plans and MA–PD plans, and the Secretary.
980	175.14 - 175.16	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)(2)	MONITORING COMPLIANCE. The Secretary shall monitor compliance by a manufacturer with the terms of an agreement under this section.
981	175.17 - 175.22	[SEC. 11201.(c)(1)] SEC. 1860D–14C.(c)(3)	COLLECTION OF DATA FROM PRESCRIPTION DRUG PLANS AND MA–PD PLANS. The Secretary may collect appropriate data from prescription drug plans and MA–PD plans in a timeframe that allows for discounted prices to be provided for applicable drugs under this section.
