Item	Page_Lines	Para	Text	Keywords
165	21.19 - 21.25	SEC. 2.(e)(3)(C)(i)	IN GENERAL.—The Board may, based on market needs, develop and implement any other investment tool or product necessary to achieve the mission of the C2FC described in subsection (a)(2) and the deployment of projects described in subparagraph (A)(i), including offering—	board, market, needs, develop, implement, investment, tool, product, necessary, achieve, mission, c2fc, described, subsection, deployment, projects, subparagraph, offering
166	22.1 - 22.2	SEC. 2.(e)(3)(C)(i)(I)	warehousing and aggregation credit facilities;	warehousing, aggregation, credit, facilities
167	22.3 - 22.3	SEC. 2.(e)(3)(C)(i)(II)	zero interest loans;	zero, interest, loans
168	22.4 - 22.4	SEC. 2.(e)(3)(C)(i)(III)	credit enhancements; and	credit, enhancements
169	22.5 - 22.5	SEC. 2.(e)(3)(C)(i)(IV)	construction finance.	construction, finance
170	22.6 - 22.7	SEC. 2.(e)(3)(C)(ii)	STATE AND LOCAL GREEN BANKS.—The Board shall provide—	state, local, banks, board
171	22.8 - 22.11	SEC. 2.(e)(3)(C)(ii)(I)	funds to United States Green Bank Institutions as necessary to finance projects that are best served by those entities; and	funds, united, states, bank, institutions, necessary, finance, projects, served, entities
172	22.12 - 22.14	SEC. 2.(e)(3)(C)(ii)(II)	technical assistance as necessary to States and localities seeking to establish green banks.	technical, assistance, necessary, states, localities, seeking, establish, banks
173	22.15 - 22.15	SEC. 2.(e)(4)	WAGE RATE REQUIREMENTS.—	wage, rate, requirements
174	22.16 - 23.2	SEC. 2.(e)(4)(A)	IN GENERAL.—All laborers and mechanics employed by eligible entities and eligible borrowers on projects funded directly by or assisted in whole or in part by the activities of the C2FC under this section shall be paid at wages at rates not less than those prevailing on projects of a similar character in the locality as determined by the Secretary of Labor in accordance with subchapter IV of chapter 31 of title 40, United States Code (commonly known as the ‘‘Davis-Bacon Act’’).	laborers, mechanics, employed, eligible, entities, borrowers, projects, funded, directly, assisted, activities, c2fc, paid, wages, rates, prevailing, character, locality, determined, secretary, labor, accordance, iv, united, states, code, commonly, known, davis, bacon, act
175	23.3 - 23.9	SEC. 2.(e)(4)(B)	AUTHORITY.—With respect to the labor standards specified in subparagraph (A), the Secretary of Labor shall have the authority and functions set forth in Reorganization Plan Numbered 14 of 1950 (64 Stat. 1267; 5 U.S.C. App.) and section 3145 of title 40, United States Code.	authority, respect, labor, standards, specified, subparagraph, secretary, functions, forth, reorganization, plan, numbered, stat, u.s.c, app, united, states, code
176	23.10 - 23.10	SEC. 2.(e)(5)	BUY AMERICA REQUIREMENTS.—	america, requirements
177	23.11 - 23.14	SEC. 2.(e)(5)(A)	IN GENERAL.—All iron, steel, and manufactured goods used for projects under this section shall be produced in the United States.	iron, steel, manufactured, goods, projects, produced, united, states
178	23.15 - 23.17	SEC. 2.(e)(5)(B)	WAIVER.—The Board may waive the requirement in subparagraph (A) if the Board finds that—	waiver, board, waive, requirement, subparagraph, finds
179	23.18 - 23.19	SEC. 2.(e)(5)(B)(i)	enforcing the requirement would be inconsistent with the public interest;	enforcing, requirement, inconsistent, public, interest
180	23.20 - 23.24	SEC. 2.(e)(5)(B)(ii)	the iron, steel, and manufactured goods produced in the United States are not produced in a sufficient and reasonably available amount or are not of a satisfactory quality; or	iron, steel, manufactured, goods, produced, united, states, sufficient, reasonably, available, amount, satisfactory, quality
181	24.1 - 24.3	SEC. 2.(e)(5)(B)(iii)	enforcing the requirement will increase the overall cost of the project by more than 25 percent.	enforcing, requirement, increase, overall, cost, project
182	24.4 - 24.6	SEC. 2.(f)	PROGRAM REVIEW AND REPORT.—Not later than 2 years after the date of enactment of this Act, and every 2 years thereafter, the Board shall—	program, review, report, years, enactment, act, thereafter, board
183	24.7 - 24.10	SEC. 2.(f)(1)	conduct a review of the activities of the C2FC and identify projects and funding opportunities that were a part of the current investment plan; and	conduct, review, activities, c2fc, identify, projects, funding, opportunities, investment, plan
184	24.11 - 24.12	SEC. 2.(f)(2)	submit to Congress and make publicly available a report that—	submit, congress, publicly, available, report
185	24.13 - 24.17	SEC. 2.(f)(2)(A)	describes the projects and funding opportunities that have been most successful in progressing towards the mission described in subsection (a)(2) during the time period covered by the report;	describes, projects, funding, opportunities, successful, progressing, towards, mission, described, subsection, period, covered, report
186	24.18 - 24.21	SEC. 2.(f)(2)(B)	includes recommendations on the clean energy and resiliency projects that should be prioritized in forthcoming years to achieve that mission;	recommendations, clean, energy, resiliency, projects, prioritized, forthcoming, years, achieve, mission
187	24.22 - 24.24	SEC. 2.(f)(2)(C)	quantifies the total amount and percentage of funding given to prioritized communities described in subsection (e)(2); and	quantifies, total, amount, percentage, funding, prioritized, communities, described, subsection
188	25.1 - 25.3	SEC. 2.(f)(2)(D)	identifies barriers for disadvantaged groups to receive C2FC funding and provides recommendations to address those barriers.	identifies, barriers, disadvantaged, c2fc, funding, recommendations, address
189	25.4 - 25.8	SEC. 2.(g)	INITIAL CAPITALIZATION.—There is appropriated to carry out this section, out of any funds in the Treasury not otherwise appropriated, $7,500,000,000 for each of fiscal years 2022 and 2023, to remain available until expended.	initial, capitalization, appropriated, carry, funds, treasury, otherwise, 7,500,000,000, fiscal, years, remain, available, expended
190	25.9 - 25.9	SEC. 3.	CARBON FEE.	carbon, fee
191	25.10 - 25.13	SEC. 3.(a)	IN GENERAL.—Chapter 38 of subtitle D of the Internal Revenue Code of 1986 is amended by adding at the end the following new subchapter: ‘‘Subchapter E—Carbon Fee	subtitle, internal, revenue, code, amended, adding, new, carbon, fee
192	25.14 - 25.15	[SEC. 3.(a)] SEC. 4691.	DEFINITIONS. ‘‘For purposes of this subchapter— (1) ADMINISTRATOR.—The term ‘Administrator’ means the Administrator of the Environmental Protection Agency.	definitions, purposes
220	29.14 - 29.14	[SEC. 3.(a)] SEC. 4692.	CARBON FEE.	carbon, fee
221	29.15 - 29.15	[SEC. 3.(a)] SEC. 4692.(a)	DEFINITIONS.—In this section:	definitions
222	29.16 - 29.19	[SEC. 3.(a)] SEC. 4692.(a)(1)	APPLICABLE PERIOD.—The term ‘applicable period’ means, with respect to any determination made by the Secretary under subsection (e)(3) for any calendar year, the period—	applicable, period, term, respect, determination, secretary, subsection, calendar
223	29.20 - 29.20	[SEC. 3.(a)] SEC. 4692.(a)(1)(A)	beginning on January 1, 2023, and	beginning, january
224	29.21 - 29.22	[SEC. 3.(a)] SEC. 4692.(a)(1)(B)	ending on December 31 of the preceding calendar year.	ending, december, preceding, calendar
225	29.23 - 30.2	[SEC. 3.(a)] SEC. 4692.(a)(2)	CUMULATIVE EMISSIONS.—The term ‘cumulative emissions’ means an amount equal to the sum of any greenhouse gas emissions resulting from the use of covered fuels and any noncovered fuel emissions for all years during the applicable period.	cumulative, emissions, term, amount, equal, sum, greenhouse, gas, resulting, covered, fuels, noncovered, fuel, years, applicable, period
226	30.3 - 30.6	[SEC. 3.(a)] SEC. 4692.(a)(3)	CUMULATIVE EMISSIONS TARGET.—The term ‘cumulative emissions target’ means an amount equal to the sum of the emissions targets for all years during the applicable period.	cumulative, emissions, target, term, amount, equal, sum, targets, years, applicable, period
227	30.7 - 30.10	[SEC. 3.(a)] SEC. 4692.(a)(4)	EMISSIONS TARGET.—The term ‘emissions target’ means the target for greenhouse gas emissions during a calendar year as determined under subsection (e)(1).	emissions, target, term, greenhouse, gas, calendar, determined, subsection
228	30.11 - 30.14	[SEC. 3.(a)] SEC. 4692.(b)	CARBON FEE.—During any calendar year that begins after December 31, 2022, there is imposed a carbon fee on any covered entity’s use, sale, or transfer of any covered fuel.	carbon, fee, calendar, begins, december, imposed, covered, entity’s, sale, transfer, fuel
229	30.15 - 30.16	[SEC. 3.(a)] SEC. 4692.(c)	AMOUNT OF THE CARBON FEE.—The carbon fee imposed by this section is an amount equal to—	amount, carbon, fee, imposed, equal
230	30.17 - 30.18	[SEC. 3.(a)] SEC. 4692.(c)(1)	the greenhouse gas content of the covered fuel, multiplied by	greenhouse, gas, content, covered, fuel, multiplied
231	30.19 - 30.20	[SEC. 3.(a)] SEC. 4692.(c)(2)	the carbon fee rate, as determined under subsection (d).	carbon, fee, rate, determined, subsection
232	30.21 - 30.22	[SEC. 3.(a)] SEC. 4692.(d)	CARBON FEE RATE.—The carbon fee rate shall be determined in accordance with the following:	carbon, fee, rate, determined, accordance
233	30.23 - 30.25	[SEC. 3.(a)] SEC. 4692.(d)(1)	IN GENERAL.—The carbon fee rate, with respect to any use, sale, or transfer during a calendar year, shall be—	carbon, fee, rate, respect, sale, transfer, calendar
234	31.1 - 31.2	[SEC. 3.(a)] SEC. 4692.(d)(1)(A)	in the case of calendar year 2023, $25, and	case, calendar
235	31.3 - 31.5	[SEC. 3.(a)] SEC. 4692.(d)(1)(B)	except as provided in paragraphs (2) and (3), in the case of any calendar year after 2023, the amount equal to the sum of—	except, paragraphs, case, calendar, amount, equal, sum
236	31.6 - 31.6	[SEC. 3.(a)] SEC. 4692.(d)(1)(B)(i)	the amount under subparagraph (A), plus	amount, subparagraph
238	31.8 - 31.9	[SEC. 3.(a)] SEC. 4692.(d)(1)(B)(ii)(I)	in the case of calendar year 2024, $10, and	case, calendar
239	31.10 - 31.13	[SEC. 3.(a)] SEC. 4692.(d)(1)(B)(ii)(II)	in the case of any calendar year after 2024, the amount in effect under this clause for the preceding calendar year, plus $10.	case, calendar, amount, effect, clause, preceding
240	31.14 - 31.14	[SEC. 3.(a)] SEC. 4692.(d)(2)	INFLATION ADJUSTMENT.—	inflation, adjustment
241	31.15 - 31.18	[SEC. 3.(a)] SEC. 4692.(d)(2)(A)	IN GENERAL.—In the case of any calendar year after 2023, the amount determined under paragraph (1)(B) shall be increased by an amount equal to—	case, calendar, amount, determined, increased, equal
242	31.19 - 31.19	[SEC. 3.(a)] SEC. 4692.(d)(2)(A)(i)	that dollar amount, multiplied by	dollar, amount, multiplied
243	31.20 - 31.24	[SEC. 3.(a)] SEC. 4692.(d)(2)(A)(ii)	the cost-of-living adjustment determined under section 1(f)(3) for that calendar year, determined by substituting ‘2022’ for ‘2016’ in subparagraph (A)(ii) thereof.	cost, adjustment, determined, calendar, substituting, subparagraph, thereof
244	32.1 - 32.4	[SEC. 3.(a)] SEC. 4692.(d)(2)(B)	ROUNDING.—If any increase determined under subparagraph (A) is not a multiple of $1, such increase shall be rounded up to the next whole dollar amount.	rounding, increase, determined, subparagraph, multiple, rounded, dollar, amount
245	32.5 - 32.5	[SEC. 3.(a)] SEC. 4692.(d)(3)	ADJUSTMENT OF CARBON FEE RATE.—	adjustment, carbon, fee, rate
246	32.6 - 32.12	[SEC. 3.(a)] SEC. 4692.(d)(3)(A)	INCREASE IN RATE FOLLOWING MISSED CUMULATIVE EMISSIONS TARGET.—In the case of any calendar year following a determination by the Secretary pursuant to subsection (e)(3) that the cumulative emissions for the preceding calendar year exceeded the cumulative emissions target for such year, paragraph	increase, rate, missed, cumulative, emissions, target, case, calendar, determination, secretary, pursuant, subsection, preceding, exceeded
247	32.13 - 32.13	SEC. 3.(a)(1)	(B)(ii)(II) shall be applied—	applied
248	32.14 - 32.16	[SEC. 3.(a)(1)] (i)	in the case of calendar years 2026 through 2030, by substituting ‘$15’ for ‘$10’, (ii) in the case of calendar years 2031 through 2040, by substituting ‘$20’ for ‘$10’, and	case, calendar, years, substituting
256	33.18 - 33.18	[SEC. 3.(a)(1)] (i)(1)	IN GENERAL.—	
257	33.19 - 33.22	[SEC. 3.(a)(1)] (i)(1)(A)	REFERENCE YEAR.—For purposes of subsection (d), the emissions target for any year shall be the amount of greenhouse gas emissions that is equal to—	reference, purposes, subsection, emissions, target, amount, greenhouse, gas, equal
258	33.23 - 34.2	[SEC. 3.(a)(1)] (i)(1)(A)(i)	for calendar years 2023 and 2024, the applicable percentage of the total amount of greenhouse gas emissions from the use of any covered fuel during calendar year 2018, and	calendar, years, applicable, percentage, total, amount, greenhouse, gas, emissions, covered, fuel
259	34.3 - 34.8	[SEC. 3.(a)(1)] (i)(1)(A)(ii)	for calendar year 2025 and each calendar year thereafter, the applicable percentage of the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018.	calendar, thereafter, applicable, percentage, total, amount, greenhouse, gas, emissions, covered, fuel, noncovered
260	34.9 - 34.18	[SEC. 3.(a)(1)] (i)(1)(B)	METHODOLOGY.—For purposes of subparagraph (A), with respect to determining the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018, the Administrator shall use such methods as are determined appropriate, provided that such methods are, to the greatest extent practicable, comparable to the methods established under paragraph (4).	methodology, purposes, subparagraph, respect, determining, total, amount, greenhouse, gas, emissions, covered, fuel, noncovered, calendar, administrator, methods, determined, appropriate, greatest, extent, practicable, comparable, established
261	34.19 - 34.19	[SEC. 3.(a)(1)] (i)(2)	APPLICABLE PERCENTAGE.—	applicable, percentage
262	34.20 - 34.22	[SEC. 3.(a)(1)] (i)(2)(A)	2023 THROUGH 2035.—In the case of calendar years 2023 through 2035, the applicable percentage shall be determined as follows:	case, calendar, years, applicable, percentage, determined, follows
263	35.1 - 35.3	[SEC. 3.(a)(1)] (i)(2)(B)	2036 THROUGH 2050.—In the case of calendar years 2036 through 2050, the applicable percentage shall be equal to—	case, calendar, years, applicable, percentage, equal
264	35.4 - 35.5	[SEC. 3.(a)(1)] (i)(2)(B)(i)	the applicable percentage for the preceding year, minus	applicable, percentage, preceding, minus
265	35.6 - 35.6	[SEC. 3.(a)(1)] (i)(2)(B)(ii)	2 percentage points.	percentage
266	35.7 - 35.9	[SEC. 3.(a)(1)] (i)(2)(C)	AFTER 2050.—In the case of any calendar year beginning after 2050, the applicable percentage shall be equal to 10 percent.	case, calendar, beginning, applicable, percentage, equal
267	35.10 - 35.11	[SEC. 3.(a)(1)] (i)(3)	EMISSIONS REPORTING AND DETERMINATIONS.—	emissions, reporting, determinations
268	35.12 - 35.16	[SEC. 3.(a)(1)] (i)(3)(A)	REPORTING.—Not later than September 30, 2024, and annually thereafter, the Administrator, in consultation with the Secretary, shall make available to the public a report on—	reporting, september, annually, thereafter, administrator, consultation, secretary, available, public, report
269	35.17 - 35.18	[SEC. 3.(a)(1)] (i)(3)(A)(i)	the cumulative emissions with respect to the preceding calendar year, and	cumulative, emissions, respect, preceding, calendar
270	35.19 - 35.21	[SEC. 3.(a)(1)] (i)(3)(A)(ii)	any other relevant information, as determined appropriate by the Administrator.	relevant, information, determined, appropriate, administrator
271	36.1 - 36.8	[SEC. 3.(a)(1)] (i)(3)(B)	DETERMINATIONS.—Not later than September 30, 2025, and annually thereafter, the Administrator, in consultation with the Secretary and as part of the report described in subparagraph (A), shall determine whether cumulative emissions with respect to the preceding calendar year exceeded the cumulative emissions target with respect to such year.	determinations, september, annually, thereafter, administrator, consultation, secretary, report, described, subparagraph, determine, cumulative, emissions, respect, preceding, calendar, exceeded, target
272	36.9 - 36.10	[SEC. 3.(a)(1)] (i)(4)	EMISSIONS ACCOUNTING METHODOLOGY.—	emissions, accounting, methodology
273	36.11 - 36.15	[SEC. 3.(a)(1)] (i)(4)(A)	IN GENERAL.—Not later than January 1, 2023, the Administrator shall prescribe rules for greenhouse gas accounting for covered entities for purposes of this subchapter, which shall—	january, administrator, prescribe, rules, greenhouse, gas, accounting, covered, entities, purposes
274	36.16 - 36.19	[SEC. 3.(a)(1)] (i)(4)(A)(i)	to the greatest extent practicable, employ existing data collection methodologies and greenhouse gas accounting practices,	greatest, extent, practicable, employ, existing, data, collection, methodologies, greenhouse, gas, accounting, practices
275	36.20 - 36.21	[SEC. 3.(a)(1)] (i)(4)(A)(ii)	ensure that the method of accounting—	ensure, method, accounting
276	36.22 - 36.22	[SEC. 3.(a)(1)] (i)(4)(A)(ii)(I)	applies to—	applies
277	36.23 - 37.2	[SEC. 3.(a)(1)] (i)(4)(A)(ii)(I)(aa)	all greenhouse gas emissions from covered fuels and all noncovered fuel emissions, and	greenhouse, gas, emissions, covered, fuels, noncovered, fuel
278	37.3 - 37.3	[SEC. 3.(a)(1)] (i)(4)(A)(ii)(I)(bb)	all covered entities,	covered, entities
279	37.4 - 37.4	[SEC. 3.(a)(1)] (i)(4)(A)(ii)(II)	excludes—	excludes
280	37.5 - 37.7	[SEC. 3.(a)(1)] (i)(4)(A)(ii)(II)(aa)	any greenhouse gas emissions which are not described item (aa) of subclause (I), and	greenhouse, gas, emissions, described, aa, subclause
281	37.8 - 37.10	[SEC. 3.(a)(1)] (i)(4)(A)(ii)(II)(bb)	any entities which are not described in item (bb) of such subclause, and	entities, described, bb, subclause
282	37.11 - 37.12	[SEC. 3.(a)(1)] (i)(4)(A)(ii)(III)	appropriately accounts for—	appropriately, accounts
283	37.13 - 37.16	[SEC. 3.(a)(1)] (i)(4)(A)(ii)(III)(aa)	qualified carbon oxide which is captured and disposed or used in a manner described in section 4694, and	qualified, carbon, oxide, captured, disposed, manner, described
284	37.17 - 37.19	[SEC. 3.(a)(1)] (i)(4)(A)(ii)(III)(bb)	nonemitting uses of covered fuels, as described in subsection (f),	nonemitting, uses, covered, fuels, described, subsection
285	37.20 - 37.24	[SEC. 3.(a)(1)] (i)(4)(A)(iii)	subject to such penalties as are determined appropriate by the Administrator, require any covered entity to report, not later than April 1 of each calendar year—	subject, penalties, determined, appropriate, administrator, require, covered, entity, report, april, calendar
286	38.1 - 38.5	[SEC. 3.(a)(1)] (i)(4)(A)(iii)(I)	the total greenhouse gas content of any covered fuels used, sold, or transferred by such covered entity during the preceding calendar year, and	total, greenhouse, gas, content, covered, fuels, sold, transferred, entity, preceding, calendar
287	38.6 - 38.8	[SEC. 3.(a)(1)] (i)(4)(A)(iii)(II)	the total noncovered fuel emissions of the covered entity during the preceding calendar year, and	total, noncovered, fuel, emissions, covered, entity, preceding, calendar
288	38.9 - 38.16	[SEC. 3.(a)(1)] (i)(4)(A)(iv)	require any information reported pursuant to clause (iii) to be verified by a third-party entity that, subject to such process as is determined appropriate by the Administrator, has been certified by the Administrator with respect to the qualifications, independence, and reliability of such entity.	require, information, reported, pursuant, clause, iii, verified, entity, subject, process, determined, appropriate, administrator, certified, respect, qualifications, independence, reliability
289	38.17 - 38.23	[SEC. 3.(a)(1)] (i)(4)(B)	GREENHOUSE GAS REPORTING PROGRAM.—For purposes of establishing the rules described in subparagraph (A), the Administrator may elect to modify the activities of the Greenhouse Gas Reporting Program to satisfy the requirements described in clauses (i) through (iv) of such subparagraph.	greenhouse, gas, reporting, program, purposes, establishing, rules, described, subparagraph, administrator, elect, modify, activities, satisfy, requirements, clauses, iv
290	38.24 - 39.6	[SEC. 3.(a)(1)] (i)(5)	REVISIONS.—With respect to any determination made by the Administrator as to the amount of greenhouse gas emissions for any calendar year (including calendar year 2018), any subsequent revision by the Administrator with respect to such amount shall apply for purposes of the fee imposed under subsection (b) for any calendar years beginning after such revision. (f) EXEMPTION AND REFUND.—The Secretary shall prescribe such rules as are necessary to ensure the carbon fee imposed by this section is not imposed with respect to any nonemitting use, or any sale or transfer for a nonemitting use, including rules providing for the refund of any carbon fee paid under this section with respect to any such use, sale, or transfer.	revisions, respect, determination, administrator, amount, greenhouse, gas, emissions, calendar, subsequent, revision, apply, purposes, fee, imposed, subsection, years, beginning
298	40.11 - 40.11	[SEC. 3.(a)(1)] SEC. 4693.	FEE ON NONCOVERED FUEL EMISSIONS.	fee, noncovered, fuel, emissions
299	40.12 - 40.15	[SEC. 3.(a)(1)] SEC. 4693.(a)	IN GENERAL.—During any calendar year that begins after December 31, 2024, there is imposed a fee on a covered entity for any noncovered fuel emissions which occur during the calendar year.	calendar, begins, december, imposed, fee, covered, entity, noncovered, fuel, emissions, occur
300	40.16 - 40.16	[SEC. 3.(a)(1)] SEC. 4693.(b)	AMOUNT.—The fee to be paid under subsection (a) by the covered entity which is the source of the emissions described in that subsection shall be an amount equal to—	amount, fee, paid, subsection
302	40.20 - 40.21	[SEC. 3.(a)(1)] SEC. 4693.(b)(1)	the total amount, in metric tons of CO2e, of emitted greenhouse gases, multiplied by	total, amount, metric, tons, co2e, emitted, greenhouse, gases, multiplied
303	40.22 - 40.24	[SEC. 3.(a)(1)] SEC. 4693.(b)(2)	an amount equal to the carbon fee rate in effect under section 4692(d) for the calendar year of such emission.	amount, equal, carbon, fee, rate, effect, calendar, emission
304	41.1 - 41.6	[SEC. 3.(a)(1)] SEC. 4693.(c)	ADMINISTRATIVE AUTHORITY.—The Secretary, in consultation with the Administrator, shall prescribe such regulations, and other guidance, to assess and collect the carbon fee imposed by this section, including regulations describing the requirements for the quarterly payment of such fees.	administrative, authority, secretary, consultation, administrator, prescribe, regulations, guidance, assess, collect, carbon, fee, imposed, describing, requirements, quarterly, payment, fees
305	41.7 - 41.8	[SEC. 3.(a)(1)] SEC. 4694.	REFUNDS FOR CARBON CAPTURE, SEQUESTRATION, AND UTILIZATION.	refunds, carbon, capture, sequestration, utilization
306	41.9 - 41.9	[SEC. 3.(a)(1)] SEC. 4694.(a)	IN GENERAL.—	
307	41.10 - 41.14	[SEC. 3.(a)(1)] SEC. 4694.(a)(1)	CAPTURE, SEQUESTRATION, AND USE.— The Secretary, in consultation with the Administrator and the Secretary of Energy, shall prescribe regulations for providing payments to any person which captures qualified carbon oxide which is—	capture, sequestration, secretary, consultation, administrator, energy, prescribe, regulations, providing, payments, captures, qualified, carbon, oxide
308	41.15 - 41.17	[SEC. 3.(a)(1)] SEC. 4694.(a)(1)(A)	disposed of by such person in secure geological storage, as described in section 45Q(f)(2), or	disposed, secure, geological, storage, described, 45q
309	41.18 - 41.19	[SEC. 3.(a)(1)] SEC. 4694.(a)(1)(B)	used in a manner which has been approved by the Secretary pursuant to subsection (c).	manner, approved, secretary, pursuant, subsection
311	41.21 - 41.25	[SEC. 3.(a)(1)] SEC. 4694.(a)(2)	ELECTION.—If the person described in paragraph (1) makes an election under this paragraph in such time and manner as the Secretary may prescribe by regulations, the credit under this section—	election, described, manner, secretary, prescribe, regulations, credit
312	42.1 - 42.3	[SEC. 3.(a)(1)] SEC. 4694.(a)(2)(A)	shall be allowable to the person that owns the facility described in subsection (b)(1), and	allowable, owns, facility, described, subsection
313	42.4 - 42.5	[SEC. 3.(a)(1)] SEC. 4694.(a)(2)(B)	shall not be allowable to the person described in paragraph (1).	allowable, described
314	42.6 - 42.6	[SEC. 3.(a)(1)] SEC. 4694.(b)	PAYMENTS FOR CARBON CAPTURE.—	payments, carbon, capture
315	42.7 - 42.12	[SEC. 3.(a)(1)] SEC. 4694.(b)(1)	IN GENERAL.—In the case of any facility for which carbon capture equipment has been placed in service, the Secretary shall make payments in the same manner as if such payment was a refund of an overpayment of the fee imposed by section 4692 or 4693.	case, facility, carbon, capture, equipment, placed, service, secretary, payments, manner, payment, refund, overpayment, fee, imposed
316	42.13 - 42.15	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)	AMOUNT OF PAYMENT.—The payment determined under this subsection shall be an amount equal to—	amount, payment, determined, subsection, equal
317	42.16 - 42.19	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(A)	the metric tons of qualified carbon oxide captured and disposed of, used, or utilized in a manner consistent with subsection (a), multiplied by	metric, tons, qualified, carbon, oxide, captured, disposed, utilized, manner, consistent, subsection, multiplied
318	42.20 - 42.23	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(B)(i)	the carbon fee rate during the year in which the carbon fee was imposed by section 4692 on the covered fuel to which such carbon oxide relates, or	carbon, fee, rate, imposed, covered, fuel, oxide, relates
319	42.24 - 43.3	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(B)(ii)	in the case of a direct air capture facility (as defined in section 45Q(e)(1)), the carbon fee rate during the year in which the qualified carbon oxide was captured and disposed of, used, or utilized.	case, direct, air, capture, facility, defined, 45q, carbon, fee, rate, qualified, oxide, captured, disposed, utilized
320	43.4 - 43.9	[SEC. 3.(a)(1)] SEC. 4694.(c)	APPROVED USES OF QUALIFIED CARBON OXIDE.—The Secretary, in consultation with Administrator and the Secretary of Energy, shall, through regulation or other public guidance, determine which uses of qualified carbon oxide are eligible for payments under this section, which may include—	approved, uses, qualified, carbon, oxide, secretary, consultation, administrator, energy, regulation, public, guidance, determine, eligible, payments
321	43.10 - 43.10	[SEC. 3.(a)(1)] SEC. 4694.(c)(1)	utilization in a manner described in clause (i) or (ii) of section 45Q(f)(5)(A), or	utilization, manner, described, clause
323	43.12 - 43.13	[SEC. 3.(a)(1)] SEC. 4694.(c)(2)	any other use which ensures minimal leakage or escape of such carbon oxide.	ensures, minimal, leakage, escape, carbon, oxide
324	43.14 - 43.15	[SEC. 3.(a)(1)] SEC. 4694.(d)	EXCEPTION.—In the case of any facility which is owned by an entity that is determined to be—	exception, case, facility, owned, entity, determined
325	43.16 - 43.17	[SEC. 3.(a)(1)] SEC. 4694.(d)(1)	in violation of any applicable air or water quality regulations, or	violation, applicable, air, water, quality, regulations
326	43.18 - 43.23	[SEC. 3.(a)(1)] SEC. 4694.(d)(2)	with respect to any environmental justice community (as defined in section 2(d)(1)(D) of the America’s Clean Future Fund Act), creating health or environmental harm to such community, such facility shall not be eligible for any payment under this section during the period of such violation.	respect, environmental, justice, community, defined, america’s, clean, future, fund, act, creating, health, harm, facility, eligible, payment, period, violation
327	44.1 - 44.1	[SEC. 3.(a)(1)] SEC. 4695.	BORDER ADJUSTMENTS.	border, adjustments
328	44.2 - 44.4	[SEC. 3.(a)(1)] SEC. 4695.(a)	IN GENERAL.—The fees imposed by, and refunds allowed under, this section shall be referred to as ‘the carbon border fee adjustment’.	fees, imposed, refunds, allowed, referred, carbon, border, fee, adjustment
329	44.5 - 44.5	[SEC. 3.(a)(1)] SEC. 4695.(b)	EXPORTS.—	exports
330	44.6 - 44.14	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).	carbon, intensive, products, case, product, exported, united, states, secretary, exporting, refund, equal, amount, cost, attributable, fees, imposed, related, manufacturing, determined, regulations, established
331	44.15 - 44.21	[SEC. 3.(a)(1)] SEC. 4695.(b)(2)	COVERED FUELS.—In the case of any covered fuel which is exported from the United States, the Secretary shall pay to the person exporting such fuel a refund equal to the amount of the cost of such fuel attributable to any fees imposed under this subchapter related to the use, sale, or transfer of such fuel.	covered, fuels, case, fuel, exported, united, states, secretary, exporting, refund, equal, amount, cost, attributable, fees, imposed, related, sale, transfer
332	44.22 - 44.22	[SEC. 3.(a)(1)] SEC. 4695.(c)	IMPORTS.—	imports
333	44.23 - 44.23	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)	CARBON-INTENSIVE PRODUCTS.—	carbon, intensive, products
334	44.24 - 45.8	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).	imposition, equivalency, fee, case, carbon, intensive, product, imported, united, states, imposed, importing, amount, equal, cost, attributable, fees, related, manufacturing, inputs, processes, subject, determined, regulations, established, secretary
335	45.9 - 45.14	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(B)	REDUCTION IN FEE.—The amount of the equivalency fee under subparagraph (A) shall be reduced by the amount, if any, of any fees imposed on the carbon-intensive product by the foreign nation or governmental units from which such product was imported.	reduction, fee, amount, equivalency, subparagraph, reduced, fees, imposed, carbon, intensive, product, foreign, nation, governmental, units, imported
336	45.15 - 45.15	[SEC. 3.(a)(1)] SEC. 4695.(c)(2)	COVERED FUELS.—	covered, fuels
